ID	TITLE	CREATOR	FORMAT	PUBLICATION DATES	CONTRIBUTORS	PUBLICATION	PHYSICAL DETAILS	ISBNS	OCLC	SERIES	ISSNS	PRECEDING TITLES	SUCCEEDING TITLES	CREDITS	CARTOGRAPHIC DATA	FINDING AIDS
0	Data compression techniques and applications	Thomas J. Lynch	Books			Belmont, Calif. : Lifetime Learning Publications, [1985] ©1985		9780534034184, 0534034187	ocm10605947							
1	Information security and privacy : Third Australasian Conference, ACISP'98, Brisbane, Australia, July 13-15, 1998 : proceedings	Colin Boyd, Ed Dawson, (eds.)	Books		Dawson, Ed (Edward),Boyd, Colin, 1959-,Dawson, Edward,	Berlin ; New York : Springer, [1998] ©1998		9783540647324, 3540647325	ocm39360628	Lecture notes in computer science. 1438,						
2	Algorithms and data structures the science of computing	Douglas Baldwin and Greg W. Scragg	Books		Scragg, Greg W,	1st ed. Hingham, Mass. : Charles River Media, c2004.		9781584502500, 1584502509		Charles River Media computer engineering series,						
3	Tele-informatics : data and computer communications	César Macchi and Jean-François Guilbert and 17 co-authors ; translated by J.M-A. St. Quinton	Books		Guilbert, Jean François,	Amsterdam ; New York : North-Holland ; New York, N.Y., U.S.A. : Sole distributors for the U.S.A. and Canada, Elsevier Science Pub. Co., 1985.		9780444875075, 0444875077	ocm11917903	Studies in telecommunication ; v. 3,						
4	Reduction and error analysis of the AVE II pilot experiment data	by Henry E. Fuelberg ; James R. Scoggins, principal investigator	Books		Scoggins, James R,United States. National Aeronautics and Space Administration,United States. National Advisory Committee for Aeronautics,United States. National Aeronautics and Space Council,	College Station, Texas : Center for Applied Geosciences, Texas A&M University, 1974.			ocm33999013	NASA contractor report ; 120496,						
5	Mobile data management : 4th international conference, MDM 2003, Melbourne, Australia, January 21-24, 2003 : proceedings	Ming-Syan Chen ... [and others], (eds.)	Books		Chen, Ming-Syan, 1959-,	Berlin ; New York : Springer, [2003] ©2003		9783540003939, 3540003932	ocm51242067	Lecture notes in computer science. 2574,						
6	Foreign direct investment in the United States : an update : review and analysis of current developments : a report submitted to the Committee on Energy and Commerce, the Committee on Ways and Means, and the Committee on Foreign Affairs of the House of Representatives, to the Committee on Finance, the Committee on Commerce, Science and Transportation, and the Committee on Foreign Relations of the Senate, and to the Joint Economic Committee of the Congress in response to section 3(a) of the Foreign Direct Investment and International Financial Data Improvements Act of 1990		Books		United States. Department of Commerce. Office of the Chief Economist,United States. Department of Commerce,United States. Economics and Statistics Administration,	[Washington, D.C.?] : U.S. Dept. of Commerce, Economics and Statistics Administration, Office of the Chief Economist : [Supt. of Docs., U.S. G.P.O., distributor], [1993]										
7	Medical data analysis : 4th International Symposium, ISMDA 2003, Berlin, Germany, October 9-10, 2003 : proceedings	Petra Perner, Rüdiger Brause, Hermann-Georg Holzhütter (eds.)	Books		Perner, Petra,Brause, Rüdiger W,Holzhütter, Hermann-Georg,	Berlin ; New York : Springer, [2003] ©2003		9783540202820, 354020282X	ocm53241231	Lecture notes in computer science. 2868,						
8	Water-quality and lake-stage data for Wisconsin lakes, water year 2001	by Wisconsin District Lake-Studies Team ; prepared in cooperation with the State of Wisconsin and other agencies	Books		Rose, William J,Geological Survey (U.S.),Wisconsin District Lake-Studies Team,Wisconsin,Geographical and Geological Survey of the Rocky Mountain Region (U.S.),Geographical Surveys West of the 100th Meridian (U.S.),Geological and Geographical Survey of the Territories (U.S.),United States. Department of the Interior,	Middleton, Wis. : U.S. Geological Survey ; Denver, CO : U.S. Geological Survey, Earth Science Information Center, Open-File Reports Section [distributor], 2001.			ocm50099112	U.S. Geological Survey open-file report ; 02-135,						
9	Indexing it all : the subject in the age of documentation, information, and data	Ronald E. Day	Books			Cambridge, Massachusetts ; London, England : The MIT Press, 2014. ©2014		9780262322775, 0262322773	ocn893685648	History and foundations of information science,						
10	Advanced analysis and learning on temporal data : first ECML PKDD Workshop, AALTD 2015, Porto, Portugal, September 11, 2015, Revised selected papers	Ahlame Douzal-Chouakria, José A. Vilar, Pierre-François Marteau (eds.)	Books		Douzal-Chouakria, Ahlame, editor,Vilar, José A. editor,Marteau, Pierre-Francois, editor,	Switzerland : Springer, 2016.		9783319444123, 3319444123, 9783319444116	ocn956530047	Lecture notes in computer science. Lecture notes in artificial intelligence ; 9785,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,						
11	Data clustering : algorithms and applications	[edited by] Charu C. Aggarwal, Chandan K. Reddy	Books		Aggarwal, Charu C., editor,Reddy, Chandan K., 1980- editor,	Boca Raton : Chapman and Hall/CRC, [2014] ©2014		9781466558212, 1466558210, 1466558229, 9781466558229	ocn783167698	Chapman & Hall/CRC data mining and knowledge discovery series,						
12	Sudden Unexpected Death Data Enhancement and Awareness Act		Books			Bethesda, Md. : ProQuest, 2014				ProQuest U.S. Serial Set Digital Collection ; H.rp.113-557,						
13	Community and quality of life : data needs for informed decision making	Committee on Identifying Data Needs for Place-Based Decision Making ; Committee on Geography	Books		National Research Council (U.S.). Committee on Identifying Data Needs for Place-Based Decision Making,National Research Council (U.S.). Committee on Geography,	Washington, D.C. : Board on Earth Sciences and Resources, Division on Earth and Life Studies, National Research Council, National Academy Press, [2002] ©2002		0309510163, 9780309510165, 0309082609, 9780309082600	ocm52800105							
14	The year 2000 problem : status report on the federal, state, local, and foreign governments : joint hearing before the Committee on Government Reform and the Committee on Science, House of Representatives, One Hundred Sixth Congress, first session, January 20, 1999		Books		United States. Congress. House. Committee on Science,United States. Congress. House. Committee on Science, Space, and Technology,United States. Congress. House. Committee on Science and Technology (2007),	Washington : U.S. G.P.O. : For sale by the U.S. G.P.O., Supt. of Docs., Congressional Sales Office, 1999.		0160597412, 9780160597411	ocm43353872							
15	Development of survey methods to assess survey practices ; a report of the American Statistical Association pilot project on the assessment of survey practices and data quality in surveys of human populations	Barbara A. Bailar, C. Michael Lanphier	Books		Lanphier, Charles Michael,National Science Foundation (U.S.),American Statistical Association,United States. Office of Science and Technology,	Washington : American Statistical Association, [1978]			ocm03723668							
16	Data banks and archives for social science research on Latin America	edited by William G. Tyler	Books		Tyler, William G,	[Gainesville, Fla.] : Consortium of Latin American Studies Programs, 1975.			ocm06194543	Publication - Consortium of Latin American Studies Programs ; no. 6,						
17	Knowledge discovery from sensor data : second international workshop, Sensor-KDD 2008, Las Vegas, NV, USA, August 24-27, 2008 ; revised selected papers	Mohamed Medhat Gaber ... [and others] (eds.)	Books		Gaber, Mohamed Medhat,Vatsavai, Ranga Raju,Omitaomu, Olufemi A,Gama, João,Chawla, Nitesh V,Ganguly, Auroop R,	Berlin ; New York : Springer, [2010] ©2010		9783642125188, 3642125182	ocn646812620	Lecture notes in computer science ; 5840,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,						
18	Essential fish habitat source document. Fishery-independent surveys, data sources, and methods	Robert N. Reid, Frank P. Almeida, and Christine A. Zetlin	Books; Microforms		Almeida, Frank P,Zetlin, Christine A,Northeast Fisheries Science Center (U.S.),Northeast Fisheries Center (U.S.),	Woods Hole, Mass. (166 Water St., Woods Hole 02543-1026) : U.S. Dept. of Commerce, National Oceanic and Atmospheric Administration, National Marine Fisheries Service, Northeast Region, Northeast Fisheries Science Center, [1999]			ocm43929499	NOAA technical memorandum NMFS-NE ; 122,						
19	Magnetic Properties of Metals : d-Elements, Alloys and Compounds	edited by H.P.J. Wijn	Books			Berlin, Heidelberg : Springer Berlin Heidelberg, 1991.		9783642582189, 3642582184, 9783540534853, 3540534857	ocn851754384	Data in science and technology,						
20	The Science and Technology Labor Force : the Value of Doctorate Holders and Development of Professional Careers		Books		Shmatko, Natalia,Auriol, Laudeline,	Cham : Springer International Publishing, 2016. Cham : Springer International Publishing, 2016.		9783319272108, 3319272101, 9783319272085, 331927208X	ocn952247539	Science, Technology and Innovation Studies,						
21	Data compilation for the magnetospherically quiet periods, February 19-23 and November 29-December 3, 1970	compiled Helen E. Coffey and J. Virginia Lincoln	Books		Coffey, Helen E., compiler,Lincoln, J. Virginia, compiler,United States. Environmental Science Services Administration. Research Laboratories,Environmental Research Laboratories (U.S.),	Asheville, N.C. : U.S. Department of Commerce, National Oceanic and Atmospheric Administration, Environmental Data Service, 1973.			ocn704438181	Report UAG ; 26,						
22	Fundamentals of computer science	Andrew J.T. Colin	Books			London : Macmillan, 1980.		9780333275528, 0333275527	ocm07540094	Macmillan computer science series,						
23	Professional social inquiry and numeric data : a framework for understanding the data delivery environment and some conclusions relevant for data dissemination strategies	Alice Robbin	Books			Madison, Wis. : A. Robbin, 1980.			ocm09884104							
24	Data smart : using data science to transform information into insight	John W. Foreman	Books			Indianapolis : Wiley, [2014] ©2014		9781118839867, 1118839862, 9781118661482, 1118661486	ocn862611724							
25	Visual data exploration and analysis II : 8-10 February 1995, San Jose, California	Georges G. Grinstein, Robert F. Erbacher, chairs/editors ; sponsored by IS & T--the Society for Imaging Science and Technology, SPIE--the International Society for Optical Engineering	Books		Grinstein, Georges G,Erbacher, Robert F,IS & T--the Society for Imaging Science and Technology,Society of Photo-optical Instrumentation Engineers,SPIE Digital Library,Society of Photographic Instrumentation Engineers,SPIE (Society),SPSE--the Society for Imaging Science and Technology,	Bellingham, Wash., USA : SPIE, [1995] ©1995		0819417572, 9780819417572	ocm57388609	Proceedings of SPIE--the International Society for Optical Engineering ; v. 2410,						
26	Analytical chemistry : a modern approach to analytical science	founding editors, R. Kellner, H.M. Widmer	Books		Mermet, Jean-Michel,Otto, Matthias,Valcárcel Cases, Miguel,	Second edition / edited by J.-M. Mermet, M. Otto, M. Valcárcel. Weinheim ; [Great Britain] : Wiley-VCH, [2004] ©2004		9783527305902, 3527305904	ocm56658131							
27	Mobile data access : First International Conference, MDA'99, Hong Kong, China, December 16-17, 1999 : proceedings	Hong Va Leong ... [and others] (eds.)	Books		Leong, Hong Va,	Berlin ; New York : Springer, [1999] ©1999		9783540668787, 3540668780	ocm42960603	Lecture notes in computer science. 1748,						
28	Structure of metals; crystallographic methods, principles, and data	Charles S. Barrett [and] T.B. Massalski	Books		Massalski, T. B,	Third edition. New York : McGraw-Hill, [1966]			ocm00568167	McGraw-Hill series in materials science and engineering,						
29	Hiding data -- selected topics : Rudolf Ahlswede's lectures on information theory 3	Rudolf Ahlswede ; edited by Alexander Ahlswede, Ingo Althöfer, Christian Deppe, Ulrich Tamm	Books		Ahlswede, Alexander, editor,Althöfer, Ingo, editor,Deppe, Christian, editor,Tamm, Ulrich, editor,	Switzerland : Springer, 2016.		9783319315157, 3319315153, 9783319315133, 3319315137, 9783319315133	ocn947837436	Foundations in signal processing, communications and networking ; v. 12,						
30	Statistics for environmental science and management	Bryan F.J. Manly	Books			Boca Raton, FL : Chapman & Hall/CRC, 2001.		9781584880295, 1584880295	ocm44681730							
31	Earth science data standards		Books		Geological Survey (U.S.),Geographical and Geological Survey of the Rocky Mountain Region (U.S.),Geographical Surveys West of the 100th Meridian (U.S.),Geological and Geographical Survey of the Territories (U.S.),United States. Department of the Interior,	[Reston, VA] : U.S. Geological Survey, Department of the Interior, [1985]			ocm15140182	Data standards program fact sheet,						
32	Journal of data science : JDS		Journals, Magazines, Newspapers	Vol. 1, no. 1 (Jan. 2003)-	Zhongguo ren min da xue. Data Mining Center,Columbia University. Department of Statistics,Fu ren da xue (Taipai, Taiwan). Innovation and Incubation Center,	Taipei City : Tingmao Publish Co., ©2002-			ocm55075527		1680-743X					
33	Elevation data for floodplain mapping	Committee on Floodplain Mapping Technologies, Board on Earth Sciences and Resources, Division on Earth and Life Studies, National Research Council of the National Academies	Books			Washington, DC : National Academies Press, [2007] ©2007		0309104092, 9780309104098	ocn166586423							
34	Archiving and climatological applications of meteorological satellite data	John A. Leese, Arthur L. Booth, and Frederic A. Godshall	Books		Booth, Arthur L,Godshall, Fredric A., 1934-,United States. Environmental Science Services Administration,National Environmental Satellite Center (U.S.),World Meteorological Organization. Commission for Climatology,World Meteorological Organization. Commission for Special Applications of Meteorology and Climatology,World Meteorological Organization. Commission for Climatology and Applications of Meteorology,United States. National Environmental Satellite Service,National Weather Satellite Center (U.S.),United States. National Oceanic and Atmospheric Administration,United States. Department of Commerce,	Washington, D.C. : National Environmental Satellite Center, 1970.			ocm17850612	ESSA technical report NESC; 53,						
35	Shielding aspects of accelerators, targets and irradiation facilities - SATIF 7 proceedings of the seventh meeting held at Instituto Tecnológico e Nuclear (ITN) Sacavém, Portugal 17-18 May 2004	jointly organized by Organisation of Economic Co-operation and Development ... [et al.]	Books		Agency, Nuclear Energy,OECD Nuclear Energy Agency,Organisation for Economic Co-operation and Development,Organisation for European Economic Co-operation,European Nuclear Energy Agency,	Paris : Nuclear Energy Agency, Organisation for Economic Co-operation and Development, 2005.		9789264010437, 9264010432	ocn700918995	Nuclear Science,						
36	Analyzing environmental trends using satellite data : selected cases	[United Nations Environment Programme, Division of Early Warning and Assessment]	Books		United Nations Environment Programme. Division of Early Warning and Assessment,United Nations Environment Programme. Division of Environment Information and Assessment,	Nairobi, Kenya : United Nations Environment Programme, Division of Early Warning and Assessment ; Sioux Falls, S.D. : United Nations Environment Programme, Division of Early Warning and Assessment--North America, [2004] ©2004		9789280725131, 9280725130	ocm59782979	Environment change analysis series,						
