,ID,Title,Author,Publication,Format,ISBN,Series,Physical Details
0,a0,"""Data compression techniques and applications""","""Thomas J. Lynch""","""Belmont, Calif. : Lifetime Learning Publications, [1985] ©1985""","""Books""",9780534034184,"""nan""","""nan"""
1,a1,"""Information security and privacy : Third Australasian Conference, ACISP'98, Brisbane, Australia, July 13-15, 1998 : proceedings""","""Colin Boyd, Ed Dawson, (eds.)""","""Berlin ; New York : Springer, [1998] ©1998""","""Books""",9783540647324,"""Lecture notes in computer science. 1438,""","""nan"""
2,a2,"""Algorithms and data structures the science of computing""","""Douglas Baldwin and Greg W. Scragg""","""1st ed. Hingham, Mass. : Charles River Media, c2004.""","""Books""",9781584502500,"""Charles River Media computer engineering series,""","""nan"""
3,a3,"""Tele-informatics : data and computer communications""","""César Macchi and Jean-François Guilbert and 17 co-authors ; translated by J.M-A. St. Quinton""","""Amsterdam ; New York : North-Holland ; New York, N.Y., U.S.A. : Sole distributors for the U.S.A. and Canada, Elsevier Science Pub. Co., 1985.""","""Books""",9780444875075,"""Studies in telecommunication ; v. 3,""","""nan"""
4,a4,"""Mobile data management : 4th international conference, MDM 2003, Melbourne, Australia, January 21-24, 2003 : proceedings""","""Ming-Syan Chen ... [and others], (eds.)""","""Berlin ; New York : Springer, [2003] ©2003""","""Books""",9783540003939,"""Lecture notes in computer science. 2574,""","""nan"""
5,a5,"""Medical data analysis : 4th International Symposium, ISMDA 2003, Berlin, Germany, October 9-10, 2003 : proceedings""","""Petra Perner, Rüdiger Brause, Hermann-Georg Holzhütter (eds.)""","""Berlin ; New York : Springer, [2003] ©2003""","""Books""",9783540202820,"""Lecture notes in computer science. 2868,""","""nan"""
6,a6,"""Indexing it all : the subject in the age of documentation, information, and data""","""Ronald E. Day""","""Cambridge, Massachusetts ; London, England : The MIT Press, 2014. ©2014""","""Books""",9780262322775,"""History and foundations of information science,""","""nan"""
7,a7,"""Advanced analysis and learning on temporal data : first ECML PKDD Workshop, AALTD 2015, Porto, Portugal, September 11, 2015, Revised selected papers""","""Ahlame Douzal-Chouakria, José A. Vilar, Pierre-François Marteau (eds.)""","""Switzerland : Springer, 2016.""","""Books""",9783319444123,"""Lecture notes in computer science. Lecture notes in artificial intelligence ; 9785,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,""","""nan"""
8,a8,"""Data clustering : algorithms and applications""","""[edited by] Charu C. Aggarwal, Chandan K. Reddy""","""Boca Raton : Chapman and Hall/CRC, [2014] ©2014""","""Books""",9781466558212,"""Chapman & Hall/CRC data mining and knowledge discovery series,""","""nan"""
10,a10,"""Knowledge discovery from sensor data : second international workshop, Sensor-KDD 2008, Las Vegas, NV, USA, August 24-27, 2008 ; revised selected papers""","""Mohamed Medhat Gaber ... [and others] (eds.)""","""Berlin ; New York : Springer, [2010] ©2010""","""Books""",9783642125188,"""Lecture notes in computer science ; 5840,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan"""
11,a11,"""Magnetic Properties of Metals : d-Elements, Alloys and Compounds""","""edited by H.P.J. Wijn""","""Berlin, Heidelberg : Springer Berlin Heidelberg, 1991.""","""Books""",9783642582189,"""Data in science and technology,""","""nan"""
