	Title	Author	Publication	Format	ISBN	Series	Physical Details
0	Statistical learning and data science  	Summa, Mireille Gettler.	Boca Raton		9781439867631 (hardback	Series in computer science and data analysis.	xv, 227 p.
3	Intelligent techniques for data science  	Akerkar, Rajendra	Cham, Switzerland	Electronic books.	9783319292069 (electronic bk.)3319292064 (electronic bk.) (print)		1 online resource (xvi, 272 pages)
11	Algorithms for data science  	Steele, Brian	Cham, Switzerland	Electronic books.	9783319457970 (electronic bk.)3319457977 (electronic bk.)3319457950 9783319457956  (print)		1 online resource (xxiii, 430 pages)
18	Data science at the command line  	Janssens, Jeroen	Sebastopol, CA		9781491947852 (pbk.)1491947853 (pbk.)		xvii, 191 pages
22	Strategies in biomedical data science : driving force for innovation  	Etchings, Jay, 1966-	Hoboken, New Jersey	Electronic books.	9781119255970 electronic book111925597X electronic book electronic book electronic book hardcover	Wiley and SAS business series.	1 online resource (xvi, 445 pages).
24	Introduction to HPC with MPI for data science  	Nielsen, Frank	Cham	Electronic books.	9783319219035 (electronic bk.)3319219030 (electronic bk.) (print) (print)	Undergraduate topics in computer science, 1863-7310	1 online resource (xxxiii, 282 pages)
25	Data Science Using Oracle Data Miner and Oracle R Enterprise : Transform Your Business Systems into an Analytical Powerhouse  	Das, Sibanjan.	Berkeley, CA	Electronic books.	9781484226148 (electronic bk.)1484226143 (electronic bk.)1484226135 9781484226131  (print)		1 online resource (300 pages)
27	The data science handbook  	Cady, Field, 1984-	Hoboken, NJ	Electronic books. | Handbooks and manuals.	9781119092933 (electronic bk.)1119092930 (electronic bk.)9781119092919 (electronic bk.)1119092914 (electronic bk.)   (cloth)		1 online resource
29	Data science : create teams that ask the right questions and deliver real value  	Rose, Doug, (Agile coach)	[Berkeley, CA]	Electronic books.	9781484222539 (electronic bk.)1484222539 (electronic bk.)		1 online resource
30	Spatial big data science : classification techniques for Earth observation imagery  	Jiang, Zhe.	Cham	Electronic books.	9783319601953 (electronic bk.)3319601954 (electronic bk.)		1 online resource
31	Defining the roles, responsibilities, and functions for data science within the Defense Intelligence Agency  	Knopp, Bradley M.	Santa Monica, Calif.		9780833096586 (pbk.)0833096583 (pbk.)		xv, 79 pages
32	Practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in R and Python  	Ojeda, Tony.	Birmingham, UK	Electronic books.	9781783980253 1783980257		1 online resource
33	Practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in R and Python  	Ojeda, Tony.	Birmingham, UK	Electronic books.	9781783980253 1783980257		1 online resource
34	Data science and big data computing : frameworks and methodologies  	Mahmood, Zaigham,	Switzerland	Electronic books.	9783319318615 (electronic bk.)3319318616 (electronic bk.) (print) (print)		1 online resource (xxi, 319 pages)
35	Data science and big data : an environment of computational intelligence  	Pedrycz, Witold, | Chen, Shyi-Ming,	Cham	Electronic books.	9783319534749 (electronic bk.)3319534742 (electronic bk.)	Studies in big data ; v. 24.	1 online resource (viii, 303 pages).
36	Python for R users : a data science approach  	Ohri, A. (Ajay)	Hoboken, NJ	Electronic books.	9781119126775 (pdf)1119126770 (pdf)9781119126782 (epub)1119126789 (epub)9781119126805 (electronic bk.		1 online resource
37	Neural data science : a primer with MATLABÂ® and Pythonâ¢  	Nylen, Erik Lee	London	Electronic books.	9780128040980 (electronic bk.)012804098X (electronic bk.)		1 online resource
38	Data science, learning by latent structures, and knowledge discovery  	Lausen, Berthold, | Krolak-Schwerdt, Sabine, | BÃ¶hmer, Matthias,	Heidelberg	Electronic books.	9783662449837 (electronic bk.)3662449838 (electronic bk.) (print) (print)	Studies in classification, data analysis, and knowledge organization, 1431-8814	1 online resource (xxii, 560 pages)
39	Analytics and data science : advances in research and pedagogy  	Deokar, Amit V., | Gupta, Ashish, | Iyer, Lakshmi S., | Jones, Mary C.,	Cham, Switzerland	Electronic books.	3319580973 (electronic bk.)9783319580975 (electronic bk.)	Annals of information systems ; v. 21.	1 online resource
43	Data science and simulation in transportation research 	Janssens, Davy, | Yasar, Ansar-Ul-Haque, | Knapen, Luk,	Hershey, PA	Electronic books.	9781466649217 1466649216	Advances in data mining and database management (ADMDM) book series.	1 online resource
44	Julia for data science : explore the world of data science from scratch with Julia by your side  	Joshi, Anshul	Birmingham, UK	Electronic books.	9781783553860 1783553863		1 online resource
45	Julia for data science : explore the world of data science from scratch with Julia by your side  	Joshi, Anshul	Birmingham, UK	Electronic books.	9781783553860 1783553863		1 online resource
46	Statistics for Data Science  	Miller, James	Packt Publishing, 2017.	Electronic books.	9781788290678 1788290674		1 online resource (286 p.)
49	Data science and classification  	Batagelj, Vladimir,	Berlin		3540344152 (pbk.)	Studies in classification, data analysis, and knowledge organization, 1431-8814	xii, 358 p.
52	Beginning data science with R  	Pathak, Manas A.	Cham	Electronic books.	9783319120669 electronic bk.3319120662 electronic bk.		1 online resource (xi, 157 pages)
53	R for data science  	Toomey, Dan	Birmingham, UK	Electronic books.	9781784392659 1784392650	Community experience distilled.	1 online resource
55	Soft methods for data science  	Ferraro, Maria Brigida,	Switzerland	Electronic books. | Conference papers and proceedings.	9783319429724 (electronic bk.)3319429728 (electronic bk.) (print) (print)	Advances in intelligent systems and computing ; v. 456.	1 online resource.
56	Data science for dummies  	Pierson, Lillian	Hoboken, New Jersey	Electronic books.	9781119327653 1119327652	--For dummies.	1 online resource
57	The data science design manual  	Skiena, Steven S.	Cham, Switzerland	Electronic books.	9783319554440 (electronic bk.)3319554441 (electronic bk.) (print)	Texts in computer science, 1868-0941	1 online resource (xvii, 445 pages)
60	R for data science  	Toomey, Dan	Birmingham, UK	Electronic books.	9781784392659 1784392650	Community experience distilled.	1 online resource
61	R fÃ¼r Data Science  	Grolemund, Garrett	dpunkt, 2017.	Electronic books.	9781492065432 1492065439		1 online resource (502 p.)
74	Data science for dummies  	Pierson, Lillian	Hoboken, New Jersey	Electronic books.	9781119327653 1119327652	--For dummies.	1 online resource
78	Introducing data science : big data, machine learning, and more, using Python tools  	Cielen, Davy	Shelter Island, NY	Electronic books.	9781633430037 1633430030		1 online resource (1 volume)
79	Introducing data science : big data, machine learning, and more, using Python tools  	Cielen, Davy	Shelter Island, NY	Electronic books.	9781633430037 1633430030		1 online resource
88	Data science : create teams that ask the right questions and deliver real value  	Rose, Doug, (Agile coach)	[Berkeley, CA]		9781484222522 (paperback)1484222520 (paperback) (electronic)		xix, 251 pages
89	Business intelligence, analytics, and data science : a managerial perspective  	Sharda, Ramesh	Boston		9780134633282 0134633288		xxvi, 486 pages ; 26 cm
90	Federal data science : transforming government and agricultural policy using artificial intelligence  	Batarseh, Feras, | Yang, Ruixin,	London	Electronic books.	9780128124444 (electronic bk.)012812444X (electronic bk.)		1 online resource
91	Parallel computing for data science : with examples in R, C++ and CUDA  	Matloff, Norman S.	Boca Raton, FL	Electronic books.	9781466587038 1466587032	Chapman & Hall/CRC the R series (CRC Press)	1 online resource (xxiii, 310 pages)
92	Handbook of research on data science for effective healthcare practice and administration  	Far, Behrouz H., | Albadvi, Amir, | Raahemi, Bijan, | Noughabi, Elham Akhond Zadeh.	Hershey, PA	Electronic books.	(hardcover) (hardcover)9781522525165 (ebook)1522525165 (ebook)		1 online resource
93	Mastering Python for data science : explore the world of data science through Python and learn how to make sense of data  	Madhavan, Samir	Brimingham, UK	Electronic books.	9781784392628 1784392626	Community experience distilled.	1 online resource
94	Mastering Python for data science : explore the world of data science through Python and learn how to make sense of data  	Madhavan, Samir	Brimingham, UK	Electronic books.	9781784392628 1784392626	Community experience distilled.	1 online resource
95	Python data science essentials : become an efficient data science practitioner by thoroughly understanding the key concepts of Python  	Boschetti, Alberto	Birmingham, UK	Electronic books.	9781785287893 1785287893	Community experience distilled.	1 online resource
96	Python data science essentials : become an efficient data science practitioner by thoroughly understanding the key concepts of Python  	Boschetti, Alberto	Birmingham, UK	Electronic books.	9781785287893 1785287893	Community experience distilled.	1 online resource
98	Mastering Java for data science : building data science applications in Java  	Grigorev, Alexey	Birmingham, UK	Electronic books.	9781785887390 1785887394		1 online resource
99	Mastering Java for data science : building data science applications in Java  	Grigorev, Alexey	Birmingham, UK	Electronic books.	9781785887390 1785887394		1 online resource
101	Data science and simulation in transportation research  	Janssens, Davy, | Yasar, Ansar-Ul-Haque, | Knapen, Luk,	Hershey, Pennsylvania		9781466649200 (hardcover) 1466649208 (hardcover)		xxiv, 433 pages
102	Perspectives on data science for software engineering  	Menzies, Tim, | Williams, Laurie, | Zimmermann, Thomas,	Cambridge, MA	Electronic books.	9780128042618 (electronic bk.)0128042613 (electronic bk.)		1 online resource
103	Perspectives on data science for software engineering  	Menzies, Tim, | Williams, Laurie, | Zimmermann, Thomas,	Cambridge, MA	Electronic books.	9780128042618 0128042613		1 online resource
105	Process mining : data science in action  	Aalst, Wil van der	Heidelberg	Electronic books.	9783662498514 (electronic bk.)3662498510 (electronic bk.) (print) (print)		1 online resource (xix, 467 pages)
106	Advanced statistical methods in data science  	Chen, Ding-Geng, | Chen, Jiahua, | Lu, Xuewen, | Yi, Grace, | Yu, Hao,	Singapore	Electronic books. | Conference papers and proceedings.	9789811025945 (electronic bk.)9811025940 (electronic bk.)9811025932 9789811025938  (print)	ICSA book series in statistics.	1 online resource.
107	Data Science on the Google Cloud Platform  	Lakshmanan, Valliappa	O'Reilly Media, Inc., 2017.	Electronic books.	9781491974551 1491974559		1 online resource (408 p.)
114	Perspectives on data science for software engineering  	Menzies, Tim, | Williams, Laurie, | Zimmermann, Thomas,	Cambridge, MA	Electronic books.	9780128042618 0128042613		1 online resource
118	New advances in statistics and data science  	Chen, Ding-Geng, | Jin, Zhezhen, | Li, Gang, | Li, Yi, | Liu, Aiyi, | Zhao, Yichuan,	Cham, Switzerland	Electronic books.	9783319694160 (electronic bk.)3319694162 (electronic bk.)	ICSA book series in statistics.	1 online resource.
119	Data science, classification, and related methods : proceedings of the fifth Conference of the International Federation of Classification Societies (IFCS-96), Kobe, Japan, March...	Hayashi, Chikio,	Tokyo ; Springer, Â©1998.	Electronic books. | Conference papers and proceedings.	9784431659501 electronic bk.4431659501 electronic bk.	Studies in classification, data analysis, and knowledge organization.	1 online resource (xv, 780 pages)
123	Data smart : using data science to transform information into insight  	Foreman, John W.	Indianapolis, IN	Electronic books.	111866146X 9781118661468		1 online resource
124	Data science algorithms in a week : data analysis, machine learning, and more  	Natingga, DÃ¡vid	Birmingham, UK	Electronic books.	9781787282742 (electronic bk.)1787282740 (electronic bk.)		1 online resource
