,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Author,ltable_Publication,ltable_Format,ltable_ISBN,ltable_Series,ltable_Physical Details,rtable_Title,rtable_Author,rtable_Publication,rtable_Format,rtable_ISBN,rtable_Series,rtable_Physical Details
1,1,a5181,b4425,"""The coming of materials science""","""by Robert W. Cahn""","""1st ed. Amsterdam : New York : 2001. Pergamon, 2001.""","""Books""",9780080529424,"""Pergamon materials series ; v. 5,""","""nan""","""The coming of materials science ""","""Cahn, R. W. (Robert W.), 1924-2007.""","""Amsterdam""","""Electronic books.""",9780080529424,"""Pergamon materials series ; v. 5.""","""1 online resource (xvii, 568 p.)"""
3,3,a3699,b2117,"""Ethics and policy of biometrics : third International Conference on Ethics and Policy of Biometrics and International Data Sharing, ICEB 2010, Hong Kong, January 4-5, 2010 : revised selected papers""","""Ajay Kumar, David Zhang (eds.)""","""Berlin ; New York : Springer, [2010] ©2010""","""Books""",9783642125959,"""Lecture notes in computer science ; 6005,LNCS sublibrary. Security and cryptology,""","""nan""","""Grand successes and failures in IT : public and private sectors : IFIP WG 8.6 International Working Conference on Transfer and Diffusion of IT, TDIT 2013, Bangalore, India, June...""","""Dwivedi, Yogesh Kumar, | Henriksen, Helle Zinner, | Wastell, David, | DÃ©, Rahul,""","""Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783642388620,"""IFIP advances in information and communication technology ; 402.""","""1 online resource (xix, 670 pages)."""
4,4,a4496,b1122,"""Advances in intelligent data analysis XI : 11th international symposium, IDA 2012, Helsinki, Finland, October 25-27, 2012 : proceedings""","""Jaakko Hollmén, Frank Klawonn, Allan Tucker, eds""","""Heidelberg ; New York : Springer, [2012] ©2012""","""Books""",9783642341564,"""Lecture notes in computer science ; 7619,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Advances in intelligent data analysis XI : 11th international symposium, IDA 2012, Helsinki, Finland, October 25-27, 2012 : proceedings  ""","""HollmÃ©n, Jaakko. | Klawonn, F. | Tucker, Allan.""","""Heidelberg ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642341564,"""Lecture notes in computer science ; 7619. LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource (xvi, 423 pages)."""
5,5,a3142,b1122,"""Advances in intelligent data analysis XVI : 16th International Symposium, IDA 2017, London, UK, October 26-28, 2017, Proceedings""","""Niall Adams, Allan Tucker, David Weston (eds.)""","""Cham, Switzerland : Springer, 2017.""","""Books""",9783319687650,"""Lecture notes in computer science ; 10584,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Advances in intelligent data analysis XI : 11th international symposium, IDA 2012, Helsinki, Finland, October 25-27, 2012 : proceedings  ""","""HollmÃ©n, Jaakko. | Klawonn, F. | Tucker, Allan.""","""Heidelberg ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642341564,"""Lecture notes in computer science ; 7619. LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource (xvi, 423 pages)."""
7,7,a1869,b8,"""Data science : create teams that ask the right questions and deliver real value""","""Doug Rose""","""[Berkeley, CA] : Apress, 2016.""","""Books""",9781484222539,"""nan""","""nan""","""Data science : create teams that ask the right questions and deliver real value  ""","""Rose, Doug, (Agile coach)""","""[Berkeley, CA]""","""Electronic books.""",9781484222539,"""nan""","""1 online resource"""
9,9,a3253,b1449,"""Information security and privacy : 8th Australasian conference, ACISP 2003, Wollongong, Australia, July 9-11, 2003 : proceedings""","""Rei Safavi-Naini, Jennifer Seberry (eds.)""","""Berlin ; New York : Springer, [2003] ©2003""","""Books""",9783540405153,"""Lecture notes in computer science. 2727,""","""nan""","""Information security and privacy : 17th Australasian Conference, ACISP 2012, Wollongong, NSW, Australia, July 9-11, 2012. Proceedings  ""","""Susilo, Willy. | Mu, Yi, | Seberry, Jennifer,""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642314483,"""Lecture notes in computer science ; 7372. 1611-3349 LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xiv, 460 pages)"""
10,10,a3390,b1358,"""Advances in knowledge discovery and data mining : 17th Pacific-Asia Conference, PAKDD 2013, Gold Coast, Australia, April 14-17, 2013, proceedings. Part II""","""Jian Pei ... [and others] (eds.)""","""Berlin ; New York : Springer, [2013] ©2013""","""Books""",9783642374562,"""Lecture notes in computer science ; 7819,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Advances in knowledge discovery and data mining : 17th Pacific-Asia Conference, PAKDD 2013, Gold Coast, Australia, April 14-17, 2013, Proceedings. Part II  ""","""Pei, Jian""","""Berlin ; Springer, Â©2013.""","""Electronic books. | Conference papers and proceedings.""",9783642374562,"""Lecture notes in computer science. Lecture notes in artificial intelligence ; 7819. Lecture notes in computer science. LNCS sublibrary. SL 7, Artificial intelligence.""","""1 online resource."""
11,11,a2252,b1358,"""Advances in Knowledge Discovery and Data Mining : 17th Pacific-Asia Conference, PAKDD 2013, Gold Coast, Australia, April 14-17, 2013, proceedings. Part I""","""Jian Pei ... [and others] (eds.)""","""Berlin ; New York : Springer, [2013] ©2013""","""Books""",9783642374531,"""Lecture notes in computer science ; 7818,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Advances in knowledge discovery and data mining : 17th Pacific-Asia Conference, PAKDD 2013, Gold Coast, Australia, April 14-17, 2013, Proceedings. Part II  ""","""Pei, Jian""","""Berlin ; Springer, Â©2013.""","""Electronic books. | Conference papers and proceedings.""",9783642374562,"""Lecture notes in computer science. Lecture notes in artificial intelligence ; 7819. Lecture notes in computer science. LNCS sublibrary. SL 7, Artificial intelligence.""","""1 online resource."""
12,12,a5011,b1429,"""Process support and knowledge representation in health care : AIME 2013 Joint Workshop, KR4HC 2013/ProHealth 2013, Murcia, Spain, June 1, 2013, revised selected papers""","""edited by David Riaño, Richard Lenz, Silvia Miksch, Mor Peleg, Manfred Reichert, Annette Teije""","""Cham : Springer International Publishing : Imprint: Springer, [2013]. ©2013""","""Books""",9783319039169,"""Lecture notes in computer science ; 8268,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,""","""nan""","""Artificial intelligence in medicine : 14th Conference on Artificial Intelligence in Medicine, AIME 2013, Murcia, Spain, May 29-June 1, 2013 : proceedings  ""","""Peek, Niels, | MarÃ­n Morales, Roque, | Peleg, Mor,""","""Berlin ; Springer, c2013.""","""Electronic books. | Conference papers and proceedings.""",9783642383267,"""Lecture notes in computer science ; 7885. 1611-3349 Lecture notes in computer science. Lecture notes in artificial intelligence. LNCS sublibrary. SL 7, Artificial intelligence.""","""1 online resource (xix, 316 pages)"""
13,13,a1446,b5187,"""Recent trends in algebraic development techniques : 15th international workshop, WADT 2001 Joint with the CoFI WG Meeting, Genova, Italy, April 1-3, 2001 : selected papers""","""Maura Cerioli, Gianna Reggio (eds.)""","""Berlin ; London : Springer, [2001] ©2001""","""Books""",9783540431596,"""Lecture notes in computer science. 2267,""","""nan""","""Recent trends in algebraic development techniques : 15th international workshop, WADT 2001 Joint with the CoFI WG Meeting, Genova, Italy, April 1-3, 2001 : selected papers  ""","""Cerioli, Maura. | Reggio, Gianna,""","""Berlin ; Springer, c2001.""","""Electronic books. | Conference proceedings.""",9783540456452,"""Lecture notes in computer science ; 2267.""","""1 online resource (x, 343 p.)"""
