_id,ltable_ID,rtable_ID,ltable_Title,ltable_Author,ltable_Publication,ltable_Format,ltable_ISBN,ltable_Series,ltable_Physical Details,rtable_Title,rtable_Author,rtable_Publication,rtable_Format,rtable_ISBN,rtable_Series,rtable_Physical Details,label
2,a5712,b297,"""Intelligence science and big data engineering : 7th International Conference, IScIDE 2017, Dalian, China, September 22-23, 2017, Proceedings""","""Yi Sun, Huchuan Lu, Lihe Zhang, Jian Yang, Hua Huang (eds.)""","""Cham, Switzerland : Springer, 2017.""","""Books""",9783319677774,"""Lecture notes in computer science ; 10559,LNCS sublibrary. Image processing, computer vision, pattern recognition, and graphics,""","""nan""","""Intelligent science and intelligent data engineering : third Sino-foreign-interchange Workshop, IScIDE 2012, Nanjing, China, October 15-17, 2012. Revised selected papers  ""","""Yang, Jian, | Fang, Fang. | Sun, Changyin.""","""Berlin ; Springer, Â©2013.""","""Electronic books. | Conference papers and proceedings.""",9783642366697,"""Lecture notes in computer science ; 7751. LNCS sublibrary. SL 6, Image processing, computer vision, pattern recognition, and graphics.""","""1 online resource.""",0
3,a3796,b297,"""Cloud computing and security : first International Conference, ICCCS 2015, Nanjing, China, August 13-15, 2015, revised selected papers""","""Zhiqiu Huang, Xingming Sun, Junzhou Luo, Jian Wang (eds.)""","""Cham : Springer, 2015.""","""Books""",9783319270517,"""Lecture notes in computer science ; 9483,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Intelligent science and intelligent data engineering : third Sino-foreign-interchange Workshop, IScIDE 2012, Nanjing, China, October 15-17, 2012. Revised selected papers  ""","""Yang, Jian, | Fang, Fang. | Sun, Changyin.""","""Berlin ; Springer, Â©2013.""","""Electronic books. | Conference papers and proceedings.""",9783642366697,"""Lecture notes in computer science ; 7751. LNCS sublibrary. SL 6, Image processing, computer vision, pattern recognition, and graphics.""","""1 online resource.""",0
5,a4637,b297,"""Chinese computational linguistics and natural language processing based on naturally annotated big data : 15th China National Conference, CCL 2016, and 4th International Symposium, NLP-NABD 2016, Yantai, China, October 15-16, 2016, Proceedings""","""edited by Maosong Sun, Xuanjing Huang, Hongfei Lin, Zhiyuan Liu, Yang Liu""","""Cham, Switzerland : Springer, 2016.""","""Books""",9783319476742,"""Lecture notes in computer science. Lecture notes in artificial intelligence ; 10035,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Intelligent science and intelligent data engineering : third Sino-foreign-interchange Workshop, IScIDE 2012, Nanjing, China, October 15-17, 2012. Revised selected papers  ""","""Yang, Jian, | Fang, Fang. | Sun, Changyin.""","""Berlin ; Springer, Â©2013.""","""Electronic books. | Conference papers and proceedings.""",9783642366697,"""Lecture notes in computer science ; 7751. LNCS sublibrary. SL 6, Image processing, computer vision, pattern recognition, and graphics.""","""1 online resource.""",0
6,a1971,b4754,"""Advances in visual computing : first international symposium, ISVC 2005, Lake Tahoe, NV, USA, December 5-7, 2005 : proceedings""","""George Bebis ... [and others] (eds.)""","""Berlin ; New York : Springer, 2005.""","""Books""",9783540307501,"""Lecture notes in computer science. 3804,""","""nan""","""Advances in visual computing : 4th international symposium, ISVC 2008, Las Vegas, NV, USA, December 1-3, 2008 : proceedings  ""","""Bebis, George.""","""Berlin ; Springer, c2008.""","""Electronic books.""",9783540896463,"""Lecture notes in computer science, 5358 0302-9743 ;""","""2 v.""",0
8,a3834,b4003,"""Graph-grammars and their application to computer science : 2nd international workshop, Haus Ohrbeck, Germany, October 4-8, 1982""","""under the auspices of the European Association for Theoretical Computer Science ; edited by Hartmut Ehrig, Manfred Nagl and Grzegorz Rozenberg""","""Berlin ; New York : Springer-Verlag, 1983.""","""Books""",9780387123103,"""Lecture notes in computer science ; 153,""","""nan""","""Graph-grammars and their application to computer science and biology : international workshop, Bad Honnef, October 30-November 3, 1978  ""","""Claus, Volker, | Ehrig, Hartmut. | Rozenberg, Grzegorz.""","""Berlin ; Springer-Verlag, 1979.""","""Electronic books. | Conference proceedings.""",9783540350910,"""Lecture notes in computer science ; 73. 0302-9743""","""1 online resource (vii, 477 p.)""",0
13,a5626,b6767,"""Computational intelligence in data mining. Volume 2 : Proceedings of the International Conference on CIDM, 5-6 December 2015""","""Himansu Sekhar Behera, Durga Prasad Mohapatra, editors""","""India : Springer, 2016.""","""Books""",9788132227311,"""Advances in intelligent systems and computing ; v. 411,""","""nan""","""Advanced computing, networking and informatics. Volume 2 : proceedings of the 3rd International Conference on Advanced Computing, Networking, and Informatics (ICACNI 2015)  ""","""Nagar, Atulya K., | Mohapatra, Durga Prasad, | Chaki, Nabendu,""","""New Delhi ; New York""","""Electronic books. | Conference papers and proceedings.""",9788132225294,"""Smart innovation, systems, and technologies ; 44. 2190-3018""","""1 online resource.""",0
14,a1267,b6767,"""Computational intelligence in data mining. Volume 1 : Proceedings of the International Conference on CIDM, 5-6 December 2015""","""Himansu Sekhar Behera, Durga Prasad Mohapatra, editors""","""India : Springer, [2016] ©2016""","""Books""",9788132227342,"""Advances in intelligent systems and computing ; vol. 410,""","""nan""","""Advanced computing, networking and informatics. Volume 2 : proceedings of the 3rd International Conference on Advanced Computing, Networking, and Informatics (ICACNI 2015)  ""","""Nagar, Atulya K., | Mohapatra, Durga Prasad, | Chaki, Nabendu,""","""New Delhi ; New York""","""Electronic books. | Conference papers and proceedings.""",9788132225294,"""Smart innovation, systems, and technologies ; 44. 2190-3018""","""1 online resource.""",0
17,a2308,b2786,"""Information security and privacy : Second Australasian Conference, ACISP '97, Sydney, NSW, Australia, July 7-9, 1997 : proceedings""","""Vijay Varadharajan, Josef Pieprzyk, Yi Mu, (eds.)""","""Berlin ; New York : Springer, [1997] ©1997""","""Books""",9783540632320,"""Lecture notes in computer science. 1270,""","""nan""","""Information security and privacy : 19th Australasian Conference, ACISP 2014, Wollongong, NSW, Australia, July 7-9, 2014. Proceedings  ""","""Susilo, Willy, | Mu, Yi,""","""Cham""","""Electronic books.""",9783319083445,"""Lecture notes in computer science ; 8544. 0302-9743 LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xiv, 464 pages)""",0
41,a4779,b2500,"""Graph data model and its data language""","""Hideko S. Kunii""","""Tokyo ; New York : Springer-Verlag, [1990] ©1990""","""Books""",9780387700588,"""nan""","""nan""","""Graph Data Model : and Its Data Language  ""","""Kunii, Hideko S.""","""Tokyo""","""Electronic books.""",9784431681144,"""nan""","""1 online resource (XVI, 106 pages)""",1
48,a5469,b1113,"""Applied cryptography and network security : 4th international conference, ACNS 2006, Singapore, June 6-9, 2006 : proceedings""","""Jianying Zhou, Moti Yung, Feng Bao (eds.)""","""Berlin ; New York : Springer, [2006] ©2006""","""Books""",9783540347033,"""Lecture notes in computer science. 3989,""","""nan""","""Applied cryptography and network security : 10th International Conference, ACNS 2012, Singapore, June 26-29, 2012. Proceedings  ""","""Bao, Feng, | Samarati, Pierangela. | Zhou, Jianying.""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642312847,"""Lecture notes in computer science ; 7341. LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource.""",0
49,a3429,b1113,"""Public key cryptography--PKC 2004 : 7th International Workshop on Theory and Practice in Public Key Cryptography, Singapore, March 1-4, 2004 : proceedings""","""Feng Bao, Robert Deng, Jianying Zhou (eds.)""","""Berlin ; New York : Springer-Verlag, 2004.""","""Books""",9783540210184,"""Lecture notes in computer science ; 2947,""","""nan""","""Applied cryptography and network security : 10th International Conference, ACNS 2012, Singapore, June 26-29, 2012. Proceedings  ""","""Bao, Feng, | Samarati, Pierangela. | Zhou, Jianying.""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642312847,"""Lecture notes in computer science ; 7341. LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource.""",0
51,a4171,b1113,"""Data and applications security and privacy XXIX : 29th Annual IFIP WG 11.3 Working Conference, DBSec 2015, Fairfax, VA, USA, July 13-15, 2015, proceedings""","""edited by Pierangela Samarati""","""Cham : Springer, 2015.""","""Books""",9783319208107,"""Lecture notes in computer science ; 9149,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Applied cryptography and network security : 10th International Conference, ACNS 2012, Singapore, June 26-29, 2012. Proceedings  ""","""Bao, Feng, | Samarati, Pierangela. | Zhou, Jianying.""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642312847,"""Lecture notes in computer science ; 7341. LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource.""",0
52,a153,b1561,"""Performance evaluation and benchmarking : traditional to big data to internet of things : 7th TPC Technology Conference, TPCTC 2015, Kohala Coast, HI, USA, August 31 - September 4, 2015. Revised selected papers""","""Raghunath Nambiar, Meikel Poess (eds.)""","""Switzerland : Springer, 2016.""","""Books""",9783319314099,"""Lecture notes in computer science ; 9508,LNCS sublibrary. Programming and software engineering,""","""nan""","""Topics in performance evaluation, measurement and characterization : third TPC Technology Conference, TPCTC 2011, Seattle, WA, USA, August 29-September 3, 2011, Revised selected...""","""Nambiar, Raghunath. | Poess, Meikel.""","""Berlin ; Springer, Â©2012.""","""Electronic books.""",9783642326271,"""Lecture notes in computer science ; 7144. 1611-3349 LNCS sublibrary. SL 2, Programming and software engineering.""","""1 online resource (xiv, 212 pages)""",0
