,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Author,ltable_Publication,ltable_Format,ltable_ISBN,ltable_Series,ltable_Physical Details,rtable_Title,rtable_Author,rtable_Publication,rtable_Format,rtable_ISBN,rtable_Series,rtable_Physical Details,label
126,548,a1137,b1719,"""Deep learning and data labeling for medical applications : first International Workshop, LABELS 2016, and second International Workshop, DLMIA 2016, held in conjunction with MICCAI 2016, Athens, Greece, October 21, 2016, Proceedings""","""Gustavo Carneiro, Diana Mateus, Loïc Peter, Andrew Bradley, João Manuel R. S. Tavares, Vasileios Belagiannis, João Paulo Papa, Jacinto C. Nascimento, Marco Loog, Zhi Lu, Jaime S. Cardoso, Julien Cornebise (eds.)""","""Cham, Switzerland : Springer, 2016.""","""Books""",9783319469768,"""Lecture notes in computer science ; 10008,LNCS sublibrary. Image processing, computer vision, pattern recognition, and graphics,""","""nan""","""Reconfigurable computing : architectures, tools and applications : 8th International Symposium, ARC 2012, Hong Kong, China, March 19-23, 2012. Proceedings  ""","""Choy, Oliver C. S.""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642283659,"""Lecture notes in computer science ; 7199. LNCS sublibrary. SL 1, Theoretical computer science and general issues.""","""1 online resource (xiv, 386 pages).""",0
171,726,a5003,b5121,"""Algorithms and computation : 5th International Symposium, ISAAC '94, Beijing, P.R. China, August 25-27, 1994 : proceedings""","""Ding-Zhu Du, Xiang-Sun Zhang, eds""","""Berlin ; New York : Springer-Verlag, [1994] ©1994""","""Books""",9783540583257,"""Lecture notes in computer science ; 834,""","""nan""","""Algorithms and Computation : 5th International Symposium, ISAAC '94 Beijing, P. R. China, August 25-27, 1994 Proceedings  ""","""Du, Ding-Zhu.""","""Berlin, Heidelberg""","""Electronic books.""",9783540486534,"""Lecture notes in computer science ; 834. 0302-9743""","""1 online resource""",1
71,295,a4188,b864,"""Data envelopment analysis in the financial services industry : a guide for practitioners and analysts working in operations research using DEA""","""Joseph C. Paradi, H. David Sherman, Fai Keung Tam""","""Cham, Switzerland : Springer, [2018] ©2018""","""Books""",9783319697253,"""International series in operations research & management science ; 266,""","""nan""","""Data envelopment analysis in the financial services industry : a guide for practitioners and analysts working in operations research using DEA  ""","""Paradi, Joseph C.""","""Cham, Switzerland""","""Electronic books.""",9783319697253,"""International series in operations research & management science ; 266.""","""1 online resource (379 pages).""",1
227,920,a3709,b695,"""Transactions on large-scale data- and knowledge-centered systems XIX : special issue on big data and open data""","""Abdelkader Hameurlain [and more] (eds.)""","""Heidelberg : Springer, 2015.""","""Books""",9783662465622,"""Lecture notes in computer science ; 8990,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XXIX  ""","""Hameurlain, Abdelkader, | KÃ¼ng, Josef, | Wagner, Roland,""","""Berlin, Germany""","""Electronic books.""",9783662540374,"""Lecture notes in computer science ; 10120. 0302-9743""","""1 online resource (vii, 135 pages)""",0
245,1020,a804,b5268,"""Science formative assessment : 75 practical strategies for linking assessment, instruction, and learning""","""Page Keeley""","""Thousand Oaks, CA : Corwin Press, [2008] ©2008""","""Books""",9781412941792,"""nan""","""nan""","""Science formative assessment : 75 practical strategies for linking assessment, instruction, and learning  ""","""Keeley, Page.""","""Thousand Oaks, CA""","""nan""",9781412941792,"""nan""","""xiv, 233 p.""",1
205,854,a1638,b527,"""Transactions on large-scale data- and knowledge-centered systems XXIII : selected papers from FDSE 2014""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Tran Khanh Dang, Nam Thoai (Eds.)""","""Berlin : Springer, [2016] ©2016""","""Books""",9783662491751,"""Lecture notes in computer science ; 9480,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XVII : selected papers from DaWaK 2013  ""","""Hameurlain, Abdelkader. | KÃ¼ng, Josef, | Wagner, Roland R. | Bellatreche, Ladjel, | Mohania, Mukesh.""","""Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783662463352,"""Lecture notes in computer science ; 8970. 1611-3349 Transactions on large-scale data- and knowledge-centered systems ; (NL-LeOCL)321419510 17.""","""1 online resource (xiii, 129 pages)""",0
288,1252,a5497,b4357,"""Content-based audio classification and retrieval for audiovisual data parsing""","""Tong Zhang and C.-C. Jay Kuo""","""Boston : Kluwer Academic, [2001] ©2001""","""Books""",9780792372875,"""Kluwer international series in engineering and computer science ; SECS 606,""","""nan""","""Content-Based Audio Classification and Retrieval for Audiovisual Data Parsing ""","""Zhang, Tong.""","""Boston, MA""","""Electronic books.""",9781475733396,"""International series in engineering and computer science ; 606.""","""1 online resource (xx, 136 pages).""",1
215,880,a5257,b1674,"""Neural information processing : 24th International Conference, ICONIP 2017, Guangzhou, China, November 14-18, 2017, Proceedings. Part II""","""Derong Liu, Shengli Xie, Yuanqing Li, Dongbin Zhao, El-Sayed M. El-Alfy (eds.)""","""Cham, Switzerland : Springer, 2017.""","""Books""",9783319700960,"""Lecture notes in computer science ; 10635,LNCS sublibrary. Theoretical computer science and general issues,""","""nan""","""Advances in brain inspired cognitive systems : 6th International Conference, BICS 2013, Beijing, China, June 9-11, 2013 : proceedings  ""","""Liu, Derong, | Alippi, Cesare, | Zhao, Dongbin, | Hussain, A.""","""Berlin ; Springer, c2013.""","""Electronic books. | Conference papers and proceedings.""",9783642387869,"""Lecture notes in computer science ; 7888. 1611-3349 Lecture notes in computer science. Lecture notes in artificial intelligence. LNCS sublibrary. SL 7, Artificial intelligence.""","""1 online resource (xiv, 418 pages)""",0
154,681,a2792,b567,"""Spatial network data : concepts and techniques for summarization""","""Dev Oliver""","""Switzerland : Springer, 2016.""","""Books""",9783319396217,"""SpringerBriefs in computer science,""","""nan""","""Spatial network data : concepts and techniques for summarization  ""","""Oliver, Dev""","""Switzerland""","""Electronic books.""",9783319396217,"""SpringerBriefs in computer science.""","""1 online resource (xii, 50 pages)""",1
159,699,a5626,b6367,"""Computational intelligence in data mining. Volume 2 : Proceedings of the International Conference on CIDM, 5-6 December 2015""","""Himansu Sekhar Behera, Durga Prasad Mohapatra, editors""","""India : Springer, 2016.""","""Books""",9788132227311,"""Advances in intelligent systems and computing ; v. 411,""","""nan""","""Proceedings of the 3rd International Conference on Advanced Computing, Networking, and Informatics (ICACNI 2015). Volume 1  ""","""Nagar, Atulya K., | Mohapatra, Durga Prasad, | Chaki, Nabendu,""","""New Delhi ; New York""","""Electronic books. | Conference papers and proceedings.""",9788132225386,"""Smart innovation, systems, and technologies ; 43.""","""1 online resource.""",0
33,127,a796,b1678,"""Intelligent information and database systems : 8th Asian Conference, ACIIDS 2016, Da Nang, Vietnam, March 14-16, 2016, Proceedings. Part II""","""Ngoc Thanh Nguyen, Bogdan Trawiński, Hamido Fujita, Tzung-Pei Hong (eds.)""","""Cham : Springer, 2016.""","""Books""",9783662493908,"""Lecture notes in computer science. Lecture notes in artificial intelligence ; 9622,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Intelligent information and database systems : 4th Asian Conference, ACIIDS 2012, Kaohsiung, Taiwan, March 19-21, 2012, Proceedings. Part II  ""","""Pan, Jeng-Shyang. | Chen, Shyi-Ming. | Nguyen, Ngoc Thanh""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642284908,"""Lecture notes in computer science ; 7197. Lecture notes in computer science. Lecture notes in artificial intelligence. LNCS sublibrary. SL 7, Artificial intelligence.""","""1 online resource (xx, 575 pages).""",0
83,338,a4253,b3056,"""Transactions on large-scale data- and knowledge-centered systems XVI : selected papers from ACOMP 2013""","""Abdelkader Hameurlain [and 4 more] (eds.)""","""Berlin : Springer, 2014.""","""Books""",9783662459478,"""Lecture notes in computer science ; 8960,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XVI : selected papers from ACOMP 2013  ""","""Hameurlain, Abdelkader,""","""Berlin""","""Electronic books.""",9783662459478,"""Lecture notes in computer science ; 8960.""","""1 online resource (viii, 103 pages).""",1
249,1031,a3376,b568,"""Availability, reliability, and security in information systems : IFIP WG 8.4, 8.9, TC 5 International Cross-Domain Conference, CD-ARES 2016, and Workshop on Privacy Aware Machine Learning for Health Data Science, PAML 2016, Salzburg, Austria, August 31 - September 2, 2016, Proceedings""","""Francesco Buccafurri, Andreas Holzinger, Peter Kieseberg, A Min Tjoa, Edgar Weippl (eds.)""","""Switzerland : Springer, 2016.""","""Books""",9783319455075,"""Lecture notes in computer science ; 9817,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Data management technologies and applications : 4th International Conference, DATA 2015, Colmar, France, July 20-22, 2015 revised selected papers  ""","""Helfert, Markus, | Holzinger, Andreas, | Belo, Orlando | Francalanci, Chiara,""","""Cham""","""Electronic books. | Conference papers and proceedings.""",9783319301624,"""Communications in computer and information science ; 584. 1865-0929""","""1 online resource (xi, 155 pages).""",0
