,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Author,ltable_Publication,ltable_Format,ltable_ISBN,ltable_Series,ltable_Physical Details,rtable_Title,rtable_Author,rtable_Publication,rtable_Format,rtable_ISBN,rtable_Series,rtable_Physical Details,label
208,867,a5342,b797,"""Data management in grid and peer-to-peer systems : 4th international conference, Globe 2011, Toulouse, France, September 1-2, 2011 : proceedings""","""Abdelkader Hameurlain, A Min Tjoa (eds.)""","""Heidelberg ; New York : Springer, [2011] ©2011""","""Books""",9783642229473,"""Lecture notes in computer science ; 6864,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Data Management in Cloud, Grid and P2P Systems : 6th International Conference, Globe 2013, Prague, Czech Republic, August 28-29, 2013 : proceedings  ""","""Hameurlain, Abdelkader, | Rahayu, Johanna Wenny, | Taniar, David,""","""Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783642400537,"""Lecture notes in computer science ; 8059, 0302-9743""","""1 online resource (x, 125 pages)""",0
188,802,a5399,b685,"""Transactions on large-scale data- and knowledge-centered systems III : special issue on data and knowledge management in grid and P2P systems""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner (eds.)""","""Heidelberg ; New York : Springer, [2011] ©2011""","""Books""",9783642230745,"""Lecture notes in computer science ; 6790,Lecture notes in computer science. Journal subline,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XIX : special issue on big data and open data  ""","""Hameurlain, Abdelkader,""","""Heidelberg""","""Electronic books.""",9783662465622,"""Lecture notes in computer science ; 8990. 0302-9743""","""1 online resource (ix, 129 pages)""",0
12,52,a153,b1561,"""Performance evaluation and benchmarking : traditional to big data to internet of things : 7th TPC Technology Conference, TPCTC 2015, Kohala Coast, HI, USA, August 31 - September 4, 2015. Revised selected papers""","""Raghunath Nambiar, Meikel Poess (eds.)""","""Switzerland : Springer, 2016.""","""Books""",9783319314099,"""Lecture notes in computer science ; 9508,LNCS sublibrary. Programming and software engineering,""","""nan""","""Topics in performance evaluation, measurement and characterization : third TPC Technology Conference, TPCTC 2011, Seattle, WA, USA, August 29-September 3, 2011, Revised selected...""","""Nambiar, Raghunath. | Poess, Meikel.""","""Berlin ; Springer, Â©2012.""","""Electronic books.""",9783642326271,"""Lecture notes in computer science ; 7144. 1611-3349 LNCS sublibrary. SL 2, Programming and software engineering.""","""1 online resource (xiv, 212 pages)""",0
221,895,a4311,b547,"""Experimental design : a chemometric approach""","""Stanley N. Deming and Stephen L. Morgan""","""Amsterdam ; Elsevier ; 1987. New York, NY, U.S.A. : Distributors for the U.S. and Canada, Elsevier Science Pub. Co., 1987.""","""Books""",9780444427342,"""Data handling in science and technology ; v. 3,""","""nan""","""Experimental design : a chemometric approach  ""","""Deming, Stanley N., 1944-""","""Amsterdam ; Elsevier ; 1987.""","""Electronic books.""",9780444427342,"""Data handling in science and technology ; v. 3.""","""1 online resource (xiii, 285 p.)""",1
239,995,a5399,b862,"""Transactions on large-scale data- and knowledge-centered systems III : special issue on data and knowledge management in grid and P2P systems""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner (eds.)""","""Heidelberg ; New York : Springer, [2011] ©2011""","""Books""",9783642230745,"""Lecture notes in computer science ; 6790,Lecture notes in computer science. Journal subline,""","""nan""","""Data management in grid and peer-to-peer systems : second international conference ; proceedings, Globe 2009, Linz, Austria, September 1-2, 2009  ""","""Hameurlain, Abdelkader. | Tjoa, A. Min.""","""Berlin ; Springer, Â©2009.""","""Electronic books. | Conference papers and proceedings.""",9783642037153,"""Lecture notes in computer science ; 5697.""","""1 online resource (viii, 149 pages)""",0
136,576,a2488,b767,"""Data mining in large sets of complex data""","""Robson L. F. Cordeiro, Christos Faloutsos, Caetano Traina Júnior""","""London ; New York : Springer, [2013] ©2013""","""Books""",9781447148906,"""SpringerBriefs in computer science,""","""nan""","""Data mining in large sets of complex data  ""","""Cordeiro, Robson L. F.""","""London""","""Electronic books.""",9781447148906,"""SpringerBriefs in computer science.""","""1 online resource (xi, 116 pages)""",1
230,933,a3709,b907,"""Transactions on large-scale data- and knowledge-centered systems XIX : special issue on big data and open data""","""Abdelkader Hameurlain [and more] (eds.)""","""Heidelberg : Springer, 2015.""","""Books""",9783662465622,"""Lecture notes in computer science ; 8990,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems X : special issue on database- and expert-systems applications  ""","""Hameurlain, Abdelkader,""","""Berlin ; Springer, Â©2013.""","""Electronic books.""",9783642412219,"""Lecture notes in computer science ; 8220.""","""1 online resource (x, 199 pages).""",0
206,859,a996,b527,"""Transactions on large-scale data- and knowledge-centered systems XV : selected papers from ADBIS 2013 satellite events""","""Abdelkader Hameurlain ... [and more] (eds.)""","""Berlin : Springer, 2014.""","""Books""",9783662457610,"""Lecture notes in computer science ; 8920,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XVII : selected papers from DaWaK 2013  ""","""Hameurlain, Abdelkader. | KÃ¼ng, Josef, | Wagner, Roland R. | Bellatreche, Ladjel, | Mohania, Mukesh.""","""Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783662463352,"""Lecture notes in computer science ; 8970. 1611-3349 Transactions on large-scale data- and knowledge-centered systems ; (NL-LeOCL)321419510 17.""","""1 online resource (xiii, 129 pages)""",0
52,205,a2989,b1435,"""Graph Transformation 10th International Conference, ICGT 2017, Held as Part of STAF 2017, Marburg, Germany, July 18-19, 2017, Proceedings""","""edited by Juan de Lara, Detlef Plump""","""Cham : Springer International Publishing : Imprint: Springer, 2017.""","""Books""",9783319614700,"""Lecture notes in computer science ; 10373,""","""nan""","""Fundamental approaches to software engineering : 15th International Conference, FASE 2012, held as part of the European Joint Conferences on Theory and Practice of Software,...""","""Lara, Juan de | Zisman, Andrea.""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642288722,"""Lecture notes in computer science ; 7212. 0302-9743 Lecture notes in computer science. Advanced research in computing and software science. LNCS sublibrary. SL 1, Theoretical computer science and general issues.""","""1 online resource (xvi, 518 pages).""",0
108,443,a3526,b4041,"""The case for international sharing of scientific data : a focus on developing countries : proceedings of a symposium""","""Kathie Bailey Mathae and Paul F. Uhlir, editors ; Committee on the Case of International Sharing of Scientific Data, a focus on developing countries, Board on International Scientific Organizations, Board on Research Data and Information, Policy and Global Affairs ; in collaboration with the Committee on Freedom and Responsibility in the Conduct of Science, International Council for Science ; National Research Council of the National Academies""","""Washington, District of Columbia : National Academies Press, [2012] ©2012""","""Books""",9780309301589,"""nan""","""nan""","""Signal Transduction in Photoreceptor Cells : Proceedings of an International Workshop Held at the Research Centre JÃ¼lich, JÃ¼lich, Fed. Rep. of Germany, 8-11 August 1990  ""","""Hargrave, Paul A.""","""Berlin, Heidelberg""","""Electronic books.""",9783642764820,"""Research reports in physics.""","""1 online resource (xi, 318 pages)""",0
290,1255,a837,b3269,"""Transactions on computational science XV : special issue on advances in autonomic computing: formal engineering methods for nature-inspired computing systems""","""Marina L. Gavrilova, C. J. Kenneth Tan, Cong-Vinh Phan (eds.)""","""Berlin ; New York : Springer, [2012] ©2012""","""Books""",9783642285257,"""Lecture notes in computer science ; 7050,""","""nan""","""Transactions on computational science VII ""","""Gavrilova, Marina L. | Tan, C. J. Kenneth""","""Berlin ; Springer-Verlag, c2010.""","""Electronic books.""",9783642113895,"""Lecture notes in computer science ; 5890.""","""1 online resource (viii, 162 p.).""",0
15,60,a2493,b928,"""Machine learning and data mining in pattern recognition : 5th international conference, MLDM 2007, Leipzig, Germany, July 18-20, 2007 : proceedings""","""Petra Perner (ed.)""","""Berlin ; New York : Springer, [2007] ©2007""","""Books""",9783540734987,"""Lecture notes in computer science ; 4571,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Machine learning and data mining in pattern recognition : 6th international conference, MLDM 2009, Leipzig, Germany, July 23-25, 2009 : proceedings  ""","""Perner, Petra.""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783642030703,"""Lecture notes in computer science ; 5632. LNCS sublibrary. SL 7, Artificial intelligence. Lecture notes in computer science. Lecture notes in artificial intelligence.""","""1 online resource (xiv, 824 pages)""",0
184,771,a233,b272,"""Automating the analysis of spatial grids : a practical guide to data mining geospatial images for human & environmental applications""","""Valliappa Lakshmanan""","""Dordrecht ; New York : Springer, [2012] ©2012""","""Books""",9789400740754,"""Geotechnologies and the environment ; v. 6,""","""nan""","""Machine learning and data mining approaches to climate science : proceedings of the 4th International Workshop on Climate Informatics  ""","""Lakshmanan, Valliappa, | Gilleland, Eric, | McGovern, Amy, | Tingley, Martin P.,""","""Cham ; New York""","""Electronic books. | Conference papers and proceedings.""",9783319172200,"""nan""","""1 online resource""",0
248,1030,a4221,b568,"""Data Management Technologies and Applications : Third International Conference, DATA 2014, Vienna, Austria, August 29-31, 2014, revised selected papers""","""edited by Markus Helfert, Andreas Holzinger, Orlando Belo, Chiara Francalanci""","""1st ed. 2015. Cham : Springer International Publishing : Imprint: Springer, 2015. ©2015""","""Books""",9783319259369,"""Communications in computer and information science ; 178,""","""nan""","""Data management technologies and applications : 4th International Conference, DATA 2015, Colmar, France, July 20-22, 2015 revised selected papers  ""","""Helfert, Markus, | Holzinger, Andreas, | Belo, Orlando | Francalanci, Chiara,""","""Cham""","""Electronic books. | Conference papers and proceedings.""",9783319301624,"""Communications in computer and information science ; 584. 1865-0929""","""1 online resource (xi, 155 pages).""",0
22,70,a2498,b1556,"""Scaling OpenMP for Exascale Performance and Portability : 13th International Workshop on OpenMP, IWOMP 2017, Stony Brook, NY, USA, September 20-22, 2017, Proceedings""","""edited by Bronis R. de Supinski, Stephen L. Olivier, Christian Terboven, Barbara M. Chapman, Matthias S. Müller""","""Cham : Springer International Publishing : Imprint: Springer, 2017.""","""Books""",9783319655789,"""Lecture notes in computer science ; 10468,""","""nan""","""OpenMP in the era of low power devices and accelerators : 9th International Workshop on OpenMP, IWOMP 2013, Canberra, ACT, Australia, September 16-18, 2013. Proceedings  ""","""Rendell, Alistair P., | Chapman, Barbara, | MÃ¼ller, Matthias S.,""","""Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783642406980,"""Lecture notes in computer science ; 8122, 0302-9743 LNCS sublibrary. SL 2, Programming and software engineering.""","""1 online resource (x, 201 pages)""",0
