ID,Title,Author,Publication,Format,ISBN,Series,Physical Details
a4866,"""Cloud computing and big data : second International Conference, CloudCom-Asia 2015, Huangshan, China, June 17-19, 2015, revised selected papers""","""Weizhong Qiang, Xianghan Zheng, Ching-Hsien Hsu (eds.)""","""Cham : Springer, 2015.""","""Books""",9783319284309,"""Lecture notes in computer science ; 9106,LNCS sublibrary. Programming and software engineering,""","""nan"""
a4868,"""Techniques and environments for big data analysis : parallel, cloud, and grid computing""","""Bhabani Shankar Prasad Mishra, Satchidananda Dehuri, Euiwhan Kim, Gi-Name Wang, editors""","""[Cham] : Springer, 2016.""","""Books""",9783319275208,"""Studies in big data ; 17,""","""nan"""
a2462,"""Resolving spectral mixtures : with applications from ultrafast time-resolved spectroscopy to super-resolution imaging""","""edited by Cyril Ruckebusch""","""Amsterdam, Netherlands : Elsevier, 2016.""","""Books""",9780444636447,"""Data handling in science and technology ; v. 30,""","""nan"""
a2463,"""Advances in intelligent systems and computing : selected papers from the International Conference on Computer Science and Information Technologies, CSIT 2016, September 6-10 Lviv, Ukraine""","""Natalya Shakhovska, editor""","""Cham : Springer, 2016, ©2017.""","""Books""",9783319459912,"""Advances in intelligent systems and computing ; v. 512,""","""nan"""
a2465,"""Rough sets, fuzzy sets, data mining, and granular computing : 9th international conference, RSFDGrC 2003 Chongqing, China, May 26-29, 2003 : proceedings""","""Guoyin Wang ... [and others] (eds.)""","""Berlin ; New York : Springer, [2003] ©2003""","""Books""",9783540140405,"""Lecture notes in computer science ; 2639,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan"""
a2467,"""Computer presentation of data in science : a do-it-yourself guide, based on the Apple Macintosh, for authors and illustrators in the sciences""","""by Doig Simmonds and Linda Reynolds""","""Dordrecht ; Boston : Kluwer Academic Publishers, [1989] ©1989""","""Books""",9780898384154,"""nan""","""nan"""
a2468,"""Analytics in a big data world : the essential guide to data science and its applications""","""Bart Baesens""","""Hoboken, New Jersey : John Wiley & Sons, Inc., [2014]""","""Books""",9781118892701,"""Wiley and SAS business series,""","""nan"""
a6,"""Indexing it all : the subject in the age of documentation, information, and data""","""Ronald E. Day""","""Cambridge, Massachusetts ; London, England : The MIT Press, 2014. ©2014""","""Books""",9780262322775,"""History and foundations of information science,""","""nan"""
a11,"""Magnetic Properties of Metals : d-Elements, Alloys and Compounds""","""edited by H.P.J. Wijn""","""Berlin, Heidelberg : Springer Berlin Heidelberg, 1991.""","""Books""",9783642582189,"""Data in science and technology,""","""nan"""
a4878,"""A survey of computational physics : introductory computational science""","""Rubin H. Landau""","""Princeton : Princeton University Press, [2008] ©2008""","""Books""",9780691131375,"""nan""","""nan"""
a10,"""Knowledge discovery from sensor data : second international workshop, Sensor-KDD 2008, Las Vegas, NV, USA, August 24-27, 2008 ; revised selected papers""","""Mohamed Medhat Gaber ... [and others] (eds.)""","""Berlin ; New York : Springer, [2010] ©2010""","""Books""",9783642125188,"""Lecture notes in computer science ; 5840,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan"""
a4880,"""Beyond databases, architectures and structures : advanced technologies for data mining and knowledge discovery : 12th International Conference, BDAS 2016, Ustroń, Poland, May 31-June 3, 2016, Proceedings""","""Stanisław Kozielski, Dariusz Mrozek, Paweł Kasprowski, Bożena Małysiak-Mrozek, Daniel Kostrzewa (eds.)""","""Switzerland : Springer, 2016.""","""Books""",9783319340999,"""Communications in computer and information science ; 613,""","""nan"""
a16,"""Mobile data access : First International Conference, MDA'99, Hong Kong, China, December 16-17, 1999 : proceedings""","""Hong Va Leong ... [and others] (eds.)""","""Berlin ; New York : Springer, [1999] ©1999""","""Books""",9783540668787,"""Lecture notes in computer science. 1748,""","""nan"""
a4883,"""Big data and differential privacy : analysis strategies for railway track engineering""","""Nii O. Attoh-Okine""","""Hoboken, NJ : John Wiley & Sons, Inc., 2017.""","""Books""",9781119229070,"""Wiley series in operations research and management science,""","""nan"""
a2485,"""Advanced scientific computing in BASIC : with applications in chemistry, biology, and pharmacology""","""P. Valkó, S. Vajda""","""Amsterdam ; New York : Elsevier ; New York, NY, U.S.A. : Distributors for the U.S. and Canada, Elsevier Science Pub. Co., 1989.""","""Books""",9780444872708,"""Data handling in science and technology ; v. 4,""","""nan"""
a2486,"""Geoinformatics 2008 and Joint Conference on GIS and Built Environment. Advanced spatial data models and analyses : 28-29 June 2008, Guangzhou, China""","""Lin Liu [and others], editors ; organized by Sun Yat-sen University (China), University of Cincinnati (USA) [and] CPGIS--the International Association of Chinese Professionals in Geographic Information Sciences ; co-organized by Guangzhou Institute of Geography (China) [and others] ; sponsored by NSFC--National Natural Science Foundation of China""","""Bellingham, Wash. : SPIE, 2008.""","""Books""",9780819473882,"""Proceedings of SPIE--the International Society for Optical Engineering ; v. 7146,""","""nan"""
a4893,"""Integrity primitives for secure information systems : final report of RACE Integrity Primitives Evaluation RIPE-RACE 1040""","""Antoon Bosselaers, Bart Preneel (eds.)""","""Berlin ; New York : Springer, [1995] ©1995""","""Books""",9783540606406,"""Lecture notes in computer science ; 1007,""","""nan"""
a2488,"""Data mining in large sets of complex data""","""Robson L. F. Cordeiro, Christos Faloutsos, Caetano Traina Júnior""","""London ; New York : Springer, [2013] ©2013""","""Books""",9781447148906,"""SpringerBriefs in computer science,""","""nan"""
a4894,"""Using data sharing to improve coordination in peacebuilding : report of a workshop by the National Academy of Engineering and the United States Institute of Peace, Roundtable on Technology, Science, and Peacebuilding""","""Andrew Robertson and Steve Olson, rapporteurs ; National Academy of Engineering of the National Academies ; United States Institute of Peace""","""Washington, DC : The National Academies Press, [2012] ©2012""","""Books""",9780309265140,"""nan""","""nan"""
a34,"""Algorithmic aspects of cloud computing : first International Workshop, ALGOCLOUD 2015, Patras, Greece, September 14-15, 2015. Revised selected papers""","""Ioannis Karydis, Spyros Sioutas, Peter Triantafillou, Dimitrios Tsoumakos (eds.)""","""Cham : Springer, 2016.""","""Books""",9783319299198,"""Lecture notes in computer science ; 9511,LNCS sublibrary. Theoretical computer science and general issues,""","""nan"""
a4897,"""New directions in rough sets, data mining, and granular-soft computing : 7th International Workshop, RSFDGrC'99, Yamaguchi, Japan, November 9-11, 1999 : proceedings""","""Ning Zhong, Andrzej Skowron, Setsuo Ohsuga (eds.)""","""Berlin ; New York : Springer, [1999] ©1999""","""Books""",9783540666455,"""Lecture notes in computer science ; 1711,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan"""
a2493,"""Machine learning and data mining in pattern recognition : 5th international conference, MLDM 2007, Leipzig, Germany, July 18-20, 2007 : proceedings""","""Petra Perner (ed.)""","""Berlin ; New York : Springer, [2007] ©2007""","""Books""",9783540734987,"""Lecture notes in computer science ; 4571,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan"""
a4899,"""The computer boys take over : computers, programmers, and the politics of technical expertise""","""Nathan Ensmenger""","""Cambridge, Mass. : MIT Press, [2010] ©2010""","""Books""",9780262050937,"""History of computing,MIT Press series in the history of computing,""","""nan"""
a40,"""Statistics and data analysis in geochemical prospecting""","""edited by R.J. Howarth""","""Amsterdam ; New York : Elsevier Scientific Pub. Co. ; New York, N.Y. : Distributors for the United States and Canada, Elsevier Science Pub. Co., 1983.""","""Books""",9780444420381,"""Handbook of exploration geochemistry ; v. 2,""","""nan"""
a4903,"""Data semantics (DS-1) : proceedings of the IFIP WG 2.6 Working Conference on Data Semantics (DS-1), Hasselt, Belgium, 7-11 January, 1985""","""edited by T.B. Steel, Jr., R. Meersman""","""Amsterdam ; New York : North-Holland : Sole distributors for the U.S.A. and Canada, Elsevier, 1986.""","""Books""",9780444700049,"""nan""","""nan"""
a2498,"""Scaling OpenMP for Exascale Performance and Portability : 13th International Workshop on OpenMP, IWOMP 2017, Stony Brook, NY, USA, September 20-22, 2017, Proceedings""","""edited by Bronis R. de Supinski, Stephen L. Olivier, Christian Terboven, Barbara M. Chapman, Matthias S. Müller""","""Cham : Springer International Publishing : Imprint: Springer, 2017.""","""Books""",9783319655789,"""Lecture notes in computer science ; 10468,""","""nan"""
a49,"""Security assessment in vehicular networks""","""Suguo Du, Haojin Zhu""","""New York, NY : Springer New York : Imprint: Springer, 2013.""","""Books""",9781461493570,"""SpringerBriefs in computer science,""","""nan"""
a4912,"""Data hiding techniques in Windows OS : a practical approach to investigation and defense""","""Nihad Admad Hassan, Rami Hijazi ; Helvi Salminen, technical editor""","""Cambridge, MA : Syngress [2016] ©2017""","""Books""",9780128044964,"""nan""","""nan"""
a2506,"""The DATA Bonanza : Improving Knowledge Discovery in Science, Engineering, and Business""","""edited by Malcolm Atkinson, Rob Baxter, Michelle Galea, Mark Parsons, Peter Brezany, Oscar Corcho, Jano van Hemert, David Snelling""","""Hoboken, New Jersey : Wiley ; IEEE Computer Society, [2013] ©2013""","""Books""",9781118540343,"""Wiley series on parallel and distributed computing,""","""nan"""
a4919,"""Analog test signal generation using periodic [sigma delta]-encoded data streams""","""by Benoit Dufort and Gordon W. Roberts""","""Boston : Kluwer Academic, [2000] ©2000""","""Books""",9780792372110,"""Kluwer international series in engineering and computer science. Analog circuits and signal processing,International series in engineering and computer science. Analog circuits and signal processing,""","""nan"""
a2512,"""Practice and theory of automated timetabling IV : 4th international conference, PATAT 2002, Gent, Belgium, August 21-23, 2002 : selected revised papers""","""Edmund Burke, Patrick De Causmaecker (eds.)""","""Berlin ; New York : Springer, [2003] ©2003""","""Books""",9783540406990,"""Lecture notes in computer science. 2740,""","""nan"""
a2515,"""Chemometrics with R : multivariate data analysis in the natural sciences and life sciences""","""Ron Wehrens""","""Heidelberg ; New York : Springer, [2011] ©2011""","""Books""",9783642178412,"""Use R!,""","""nan"""
a67,"""Statistics for data science : leverage the power of statistics for data analysis, classification, regression, machine learning, and neural networks""","""James D. Miller""","""Birmingham, UK : Packt Publishing, 2017. ©2017""","""Books""",9781788295345,"""nan""","""nan"""
a4930,"""Bioinformatics basics : applications in biological science and medicine""","""Hooman H. Rashidi, Lukas K. Buehler""","""Boca Raton, FL : CRC Press, [2000] ©2000""","""Books""",9780849323751,"""nan""","""nan"""
a73,"""Evaluation of environmental data for regulatory and impact assessment""","""S. Ramamoorthy and E. Baddaloo""","""Amsterdam ; Elsevier ; 1991. New York, NY : Distributors for the United States and Canada, Elsevier Science Pub. Co., 1991.""","""Books""",9780444885302,"""Studies in environmental science ; 41,""","""nan"""
a2522,"""Computing for scientists and engineers : a workbook of analysis, numerics, and applications""","""William J. Thompson""","""New York : Wiley, 1992.""","""Books""",9780471547181,"""nan""","""nan"""
a77,"""Lightweight Cryptography for Security and Privacy : 4th International Workshop, LightSec 2015, Bochum, Germany, September 10-11, 2015, Revised Selected Papers""","""edited by Tim Güneysu, Gregor Leander, Amir Moradi""","""1st ed. 2016. Cham : Springer International Publishing : Imprint: Springer, 2016.""","""Books""",9783319290782,"""Lecture notes in computer science ; 9542,""","""nan"""
a4936,"""Advanced data mining and applications : 6th international conference, ADMA 2010, Chongqing, China, November 19-21, 2010 : proceedings""","""Longbing Cao, Yong Feng, Jiang Zhong (eds.)""","""Berlin ; New York : Springer, 2010.""","""Books""",9783642173165,"""Lecture notes in computer science ; 6440-6441,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan"""
a4938,"""Open data structures : an introduction""","""Pat Morin""","""Edmonton : AU Press, 2013- Minneapolis : Open Textbook Library ©2013-""","""Books""",9781927356395,"""Open paths to enriched learning ; 2,Open Textbook Library,""","""nan"""
a2527,"""Data structures and other objects : a second course in computer science""","""Michael Main, Walter Savitch""","""Turbo Pascal edition. Redwood City, Calif. : Benjamin/Cummings, [1995] ©1995""","""Books""",9780805370867,"""nan""","""nan"""
