ID,Title,Author,Publication,Format,ISBN,Series,Physical Details
a0,"""data compression techniques and applications""","""thomas j. lynch""","""belmont, calif. : lifetime learning publications, [1985] ©1985""","""books""",9780534034184,"""nan""","""nan"""
a1,"""information security and privacy : third australasian conference, acisp'98, brisbane, australia, july 13-15, 1998 : proceedings""","""colin boyd, ed dawson, (eds.)""","""berlin ; new york : springer, [1998] ©1998""","""books""",9783540647324,"""lecture notes in computer science. 1438,""","""nan"""
a2,"""algorithms and data structures the science of computing""","""douglas baldwin and greg w. scragg""","""1st ed. hingham, mass. : charles river media, c2004.""","""books""",9781584502500,"""charles river media computer engineering series,""","""nan"""
a3,"""tele-informatics : data and computer communications""","""césar macchi and jean-françois guilbert and 17 co-authors ; translated by j.m-a. st. quinton""","""amsterdam ; new york : north-holland ; new york, n.y., u.s.a. : sole distributors for the u.s.a. and canada, elsevier science pub. co., 1985.""","""books""",9780444875075,"""studies in telecommunication ; v. 3,""","""nan"""
a4,"""mobile data management : 4th international conference, mdm 2003, melbourne, australia, january 21-24, 2003 : proceedings""","""ming-syan chen ... [and others], (eds.)""","""berlin ; new york : springer, [2003] ©2003""","""books""",9783540003939,"""lecture notes in computer science. 2574,""","""nan"""
a5,"""medical data analysis : 4th international symposium, ismda 2003, berlin, germany, october 9-10, 2003 : proceedings""","""petra perner, rüdiger brause, hermann-georg holzhütter (eds.)""","""berlin ; new york : springer, [2003] ©2003""","""books""",9783540202820,"""lecture notes in computer science. 2868,""","""nan"""
a6,"""indexing it all : the subject in the age of documentation, information, and data""","""ronald e. day""","""cambridge, massachusetts ; london, england : the mit press, 2014. ©2014""","""books""",9780262322775,"""history and foundations of information science,""","""nan"""
a7,"""advanced analysis and learning on temporal data : first ecml pkdd workshop, aaltd 2015, porto, portugal, september 11, 2015, revised selected papers""","""ahlame douzal-chouakria, josé a. vilar, pierre-françois marteau (eds.)""","""switzerland : springer, 2016.""","""books""",9783319444123,"""lecture notes in computer science. lecture notes in artificial intelligence ; 9785,lncs sublibrary. artificial intelligence,lecture notes in computer science. lecture notes in artificial intelligence,""","""nan"""
a8,"""data clustering : algorithms and applications""","""[edited by] charu c. aggarwal, chandan k. reddy""","""boca raton : chapman and hall/crc, [2014] ©2014""","""books""",9781466558212,"""chapman & hall/crc data mining and knowledge discovery series,""","""nan"""
a10,"""knowledge discovery from sensor data : second international workshop, sensor-kdd 2008, las vegas, nv, usa, august 24-27, 2008 ; revised selected papers""","""mohamed medhat gaber ... [and others] (eds.)""","""berlin ; new york : springer, [2010] ©2010""","""books""",9783642125188,"""lecture notes in computer science ; 5840,lncs sublibrary. information systems and applications, incl. internet/web, and hci,""","""nan"""
a11,"""magnetic properties of metals : d-elements, alloys and compounds""","""edited by h.p.j. wijn""","""berlin, heidelberg : springer berlin heidelberg, 1991.""","""books""",9783642582189,"""data in science and technology,""","""nan"""
a12,"""fundamentals of computer science""","""andrew j.t. colin""","""london : macmillan, 1980.""","""books""",9780333275528,"""macmillan computer science series,""","""nan"""
a13,"""data smart : using data science to transform information into insight""","""john w. foreman""","""indianapolis : wiley, [2014] ©2014""","""books""",9781118839867,"""nan""","""nan"""
a15,"""analytical chemistry : a modern approach to analytical science""","""founding editors, r. kellner, h.m. widmer""","""second edition / edited by j.-m. mermet, m. otto, m. valcárcel. weinheim ; [great britain] : wiley-vch, [2004] ©2004""","""books""",9783527305902,"""nan""","""nan"""
a16,"""mobile data access : first international conference, mda'99, hong kong, china, december 16-17, 1999 : proceedings""","""hong va leong ... [and others] (eds.)""","""berlin ; new york : springer, [1999] ©1999""","""books""",9783540668787,"""lecture notes in computer science. 1748,""","""nan"""
a17,"""hiding data -- selected topics : rudolf ahlswede's lectures on information theory 3""","""rudolf ahlswede ; edited by alexander ahlswede, ingo althöfer, christian deppe, ulrich tamm""","""switzerland : springer, 2016.""","""books""",9783319315157,"""foundations in signal processing, communications and networking ; v. 12,""","""nan"""
a18,"""statistics for environmental science and management""","""bryan f.j. manly""","""boca raton, fl : chapman & hall/crc, 2001.""","""books""",9781584880295,"""nan""","""nan"""
a20,"""shielding aspects of accelerators, targets and irradiation facilities - satif 7 proceedings of the seventh meeting held at instituto tecnológico e nuclear (itn) sacavém, portugal 17-18 may 2004""","""jointly organized by organisation of economic co-operation and development ... [et al.]""","""paris : nuclear energy agency, organisation for economic co-operation and development, 2005.""","""books""",9789264010437,"""nuclear science,""","""nan"""
a21,"""analyzing environmental trends using satellite data : selected cases""","""[united nations environment programme, division of early warning and assessment]""","""nairobi, kenya : united nations environment programme, division of early warning and assessment ; sioux falls, s.d. : united nations environment programme, division of early warning and assessment--north america, [2004] ©2004""","""books""",9789280725131,"""environment change analysis series,""","""nan"""
a23,"""practical finite element modeling in earth science using matlab""","""guy simpson""","""chichester, uk ; hoboken, nj : john wiley & sons, 2017.""","""books""",9781119248651,"""nan""","""nan"""
a24,"""modeling complex data for creating information""","""j.-e. dubois, n. gershon (eds.)""","""berlin ; new york : springer ; paris : codata, ©1996.""","""books""",9783642801990,"""data and knowledge in a changing world,""","""nan"""
a26,"""information processing systems for management""","""donna hussain, k.m. hussain""","""homewood, ill. : r.d. irwin, 1981.""","""books""",9780256024821,"""irwin series in information and decision sciences,""","""nan"""
a28,"""predictive modeling applications in actuarial science""","""edited by edward w. frees, university of wisconsin, madison, richard a. derrig, opal consulting llc, providence, rhode island, glenn meyers, iso innovative analytics, jersey city, new jersey""","""new york : cambridge university press, 2014-""","""books""",9781107029873,"""international series on actuarial science,""","""nan"""
a29,"""computer programming in basic""","""joseph p. pavlovich [and] thomas e. tahan""","""[san francisco] : [holden-day], [1971]""","""books""",9780816266531,"""holden-day computer and information sciences series,""","""nan"""
a30,"""fourth generation data : a guide to data analysis for new and old systems""","""dan tasker""","""new york : prentice hall, [1989] ©1989""","""books""",9780133295580,"""nan""","""nan"""
a32,"""atmospheric science (as) and ocean science (os)""","""[editors], chun-chieh wu, jianping gan""","""singapore ; hackensack, nj : world scientific, c2012.""","""books""",9781283850797,"""advances in geosciences ; v. 28,""","""nan"""
