ID,Title,Author,Publication,Format,ISBN,Series,Physical Details
b0,"""statistical learning and data science""","""summa, mireille gettler.""","""boca raton""","""nan""",9781439867631,"""series in computer science and data analysis.""","""xv, 227 p."""
b1,"""intelligent techniques for data science""","""akerkar, rajendra""","""cham, switzerland""","""electronic books.""",9783319292069,"""nan""","""1 online resource (xvi, 272 pages)"""
b2,"""algorithms for data science""","""steele, brian""","""cham, switzerland""","""electronic books.""",9783319457970,"""nan""","""1 online resource (xxiii, 430 pages)"""
b3,"""data science at the command line""","""janssens, jeroen""","""sebastopol, ca""","""nan""",9781491947852,"""nan""","""xvii, 191 pages"""
b4,"""strategies in biomedical data science : driving force for innovation""","""etchings, jay, 1966-""","""hoboken, new jersey""","""electronic books.""",9781119255970,"""wiley and sas business series.""","""1 online resource (xvi, 445 pages)."""
b5,"""introduction to hpc with mpi for data science""","""nielsen, frank""","""cham""","""electronic books.""",9783319219035,"""undergraduate topics in computer science, 1863-7310""","""1 online resource (xxxiii, 282 pages)"""
b6,"""data science using oracle data miner and oracle r enterprise : transform your business systems into an analytical powerhouse""","""das, sibanjan.""","""berkeley, ca""","""electronic books.""",9781484226148,"""nan""","""1 online resource (300 pages)"""
b7,"""the data science handbook""","""cady, field, 1984-""","""hoboken, nj""","""electronic books. | handbooks and manuals.""",9781119092933,"""nan""","""1 online resource"""
b8,"""data science : create teams that ask the right questions and deliver real value""","""rose, doug, (agile coach)""","""[berkeley, ca]""","""electronic books.""",9781484222539,"""nan""","""1 online resource"""
b9,"""spatial big data science : classification techniques for earth observation imagery""","""jiang, zhe.""","""cham""","""electronic books.""",9783319601953,"""nan""","""1 online resource"""
b10,"""defining the roles, responsibilities, and functions for data science within the defense intelligence agency""","""knopp, bradley m.""","""santa monica, calif.""","""nan""",9780833096586,"""nan""","""xv, 79 pages"""
b11,"""practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in r and python""","""ojeda, tony.""","""birmingham, uk""","""electronic books.""",9781783980253,"""nan""","""1 online resource"""
b12,"""practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in r and python""","""ojeda, tony.""","""birmingham, uk""","""electronic books.""",9781783980253,"""nan""","""1 online resource"""
b13,"""data science and big data computing : frameworks and methodologies""","""mahmood, zaigham,""","""switzerland""","""electronic books.""",9783319318615,"""nan""","""1 online resource (xxi, 319 pages)"""
b14,"""data science and big data : an environment of computational intelligence""","""pedrycz, witold, | chen, shyi-ming,""","""cham""","""electronic books.""",9783319534749,"""studies in big data ; v. 24.""","""1 online resource (viii, 303 pages)."""
b15,"""python for r users : a data science approach""","""ohri, a. (ajay)""","""hoboken, nj""","""electronic books.""",9781119126775,"""nan""","""1 online resource"""
b16,"""neural data science : a primer with matlabâ® and pythonâ¢""","""nylen, erik lee""","""london""","""electronic books.""",9780128040980,"""nan""","""1 online resource"""
b17,"""data science, learning by latent structures, and knowledge discovery""","""lausen, berthold, | krolak-schwerdt, sabine, | bã¶hmer, matthias,""","""heidelberg""","""electronic books.""",9783662449837,"""studies in classification, data analysis, and knowledge organization, 1431-8814""","""1 online resource (xxii, 560 pages)"""
