ID,Title,Author,Publication,Format,ISBN,Series,Physical Details
b0,"""Statistical learning and data science""","""Summa, Mireille Gettler.""","""Boca Raton""","""nan""",9781439867631,"""Series in computer science and data analysis.""","""xv, 227 p."""
b1,"""Intelligent techniques for data science""","""Akerkar, Rajendra""","""Cham, Switzerland""","""Electronic books.""",9783319292069,"""nan""","""1 online resource (xvi, 272 pages)"""
b2,"""Algorithms for data science""","""Steele, Brian""","""Cham, Switzerland""","""Electronic books.""",9783319457970,"""nan""","""1 online resource (xxiii, 430 pages)"""
b3,"""Data science at the command line""","""Janssens, Jeroen""","""Sebastopol, CA""","""nan""",9781491947852,"""nan""","""xvii, 191 pages"""
b4,"""Strategies in biomedical data science : driving force for innovation""","""Etchings, Jay, 1966-""","""Hoboken, New Jersey""","""Electronic books.""",9781119255970,"""Wiley and SAS business series.""","""1 online resource (xvi, 445 pages)."""
b5,"""Introduction to HPC with MPI for data science""","""Nielsen, Frank""","""Cham""","""Electronic books.""",9783319219035,"""Undergraduate topics in computer science, 1863-7310""","""1 online resource (xxxiii, 282 pages)"""
b6,"""Data Science Using Oracle Data Miner and Oracle R Enterprise : Transform Your Business Systems into an Analytical Powerhouse""","""Das, Sibanjan.""","""Berkeley, CA""","""Electronic books.""",9781484226148,"""nan""","""1 online resource (300 pages)"""
b7,"""The data science handbook""","""Cady, Field, 1984-""","""Hoboken, NJ""","""Electronic books. | Handbooks and manuals.""",9781119092933,"""nan""","""1 online resource"""
b8,"""Data science : create teams that ask the right questions and deliver real value""","""Rose, Doug, (Agile coach)""","""[Berkeley, CA]""","""Electronic books.""",9781484222539,"""nan""","""1 online resource"""
b9,"""Spatial big data science : classification techniques for Earth observation imagery""","""Jiang, Zhe.""","""Cham""","""Electronic books.""",9783319601953,"""nan""","""1 online resource"""
b10,"""Defining the roles, responsibilities, and functions for data science within the Defense Intelligence Agency""","""Knopp, Bradley M.""","""Santa Monica, Calif.""","""nan""",9780833096586,"""nan""","""xv, 79 pages"""
b11,"""Practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in R and Python""","""Ojeda, Tony.""","""Birmingham, UK""","""Electronic books.""",9781783980253,"""nan""","""1 online resource"""
b12,"""Practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in R and Python""","""Ojeda, Tony.""","""Birmingham, UK""","""Electronic books.""",9781783980253,"""nan""","""1 online resource"""
b13,"""Data science and big data computing : frameworks and methodologies""","""Mahmood, Zaigham,""","""Switzerland""","""Electronic books.""",9783319318615,"""nan""","""1 online resource (xxi, 319 pages)"""
b14,"""Data science and big data : an environment of computational intelligence""","""Pedrycz, Witold, | Chen, Shyi-Ming,""","""Cham""","""Electronic books.""",9783319534749,"""Studies in big data ; v. 24.""","""1 online resource (viii, 303 pages)."""
b15,"""Python for R users : a data science approach""","""Ohri, A. (Ajay)""","""Hoboken, NJ""","""Electronic books.""",9781119126775,"""nan""","""1 online resource"""
b16,"""Neural data science : a primer with MATLABÂ® and Pythonâ¢""","""Nylen, Erik Lee""","""London""","""Electronic books.""",9780128040980,"""nan""","""1 online resource"""
