,Title,Author,Publication,Format,ISBN,Series,Physical Details,Source
0,"""statistical learning and data science""","""edited by mireille gettler summa ... [and others]""","""boca raton : crc press, [2012] ©2012""","""books""",9781439867631,"""series in computer science and data analysis,""","""xv, 227 p.""",ab
1,"""intelligent techniques for data science""","""rajendra akerkar, priti srinivas sajja""","""cham, switzerland : springer, 2016.""","""electronic books.""",9783319292069,"""nan""","""1 online resource (xvi, 272 pages)""",ab
2,"""algorithms for data science""","""brian steele, john chandler, swarna reddy""","""cham, switzerland : springer, 2016.""","""electronic books.""",9783319457970,"""nan""","""1 online resource (xxiii, 430 pages)""",ab
3,"""data science at the command line""","""janssens, jeroen""","""first edition. sebastopol, ca : o'reilly, 2014. ©2015""","""books""",9781491947852,"""nan""","""xvii, 191 pages""",ab
5,"""introduction to hpc with mpi for data science""","""nielsen, frank""","""cham : springer, 2016.""","""electronic books.""",9783319219035,"""undergraduate topics in computer science, 1863-7310""","""1 online resource (xxxiii, 282 pages)""",ab
6,"""data science using oracle data miner and oracle r enterprise : transform your business systems into an analytical powerhouse""","""das, sibanjan.""","""berkeley, ca : apress, 2016. berkeley, ca : apress, 2016.""","""electronic books.""",9781484226148,"""nan""","""1 online resource (300 pages)""",ab
7,"""the data science handbook""","""cady, field, 1984-""","""hoboken, nj : john wiley & sons, inc., 2017.""","""electronic books. | handbooks and manuals.""",9781119092933,"""nan""","""1 online resource""",ab
8,"""data science : create teams that ask the right questions and deliver real value""","""rose, doug, (agile coach)""","""[berkeley, ca] : apress, 2016.""","""electronic books.""",9781484222539,"""nan""","""1 online resource""",ab
9,"""spatial big data science : classification techniques for earth observation imagery""","""zhe jiang, shashi shekhar""","""cham : springer, 2017.""","""electronic books.""",9783319601953,"""nan""","""1 online resource""",ab
10,"""practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in r and python""","""tony ojeda, sean patrick murphy, benjamin bengfort, abhijit dasgupta""","""birmingham, uk : packt publishing ltd., september 2014. ©2014""","""electronic books.""",9781783980246,"""nan""","""1 online resource""",ab
11,"""practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in r and python""","""tony ojeda, [and three others]""","""birmingham, [england] : packt publishing, 2014. ©2014""","""electronic books.""",9781783980253,"""nan""","""1 online resource""",ab
12,"""practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in r and python""","""tony ojeda, sean patrick murphy, benjamin bengfort, abhijit dasgupta""","""birmingham, uk : packt publishing ltd., september 2014. ©2014""","""electronic books.""",9781783980246,"""nan""","""1 online resource""",ab
13,"""practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in r and python""","""tony ojeda, [and three others]""","""birmingham, [england] : packt publishing, 2014. ©2014""","""electronic books.""",9781783980253,"""nan""","""1 online resource""",ab
14,"""data science and big data computing : frameworks and methodologies""","""zaigham mahmood, editor""","""switzerland : springer, 2016.""","""electronic books.""",9783319318615,"""nan""","""1 online resource (xxi, 319 pages)""",ab
17,"""data science and big data : an environment of computational intelligence""","""witold pedrycz, shyi-ming chen, editors""","""cham : springer, [2017]. ©2017""","""electronic books.""",9783319534749,"""studies in big data ; v. 24,""","""1 online resource (viii, 303 pages).""",ab
18,"""python for r users : a data science approach""","""ohri, a. (ajay)""","""hoboken, nj : john wiley & sons, 2017.""","""electronic books.""",9781119126805,"""nan""","""1 online resource""",ab
22,"""soft methods for data science""","""edited by maria brigida ferraro, paolo giordani, barbara vantaggi, marek gagolewski, maría ángeles gil, przemysław grzegorzewski, olgierd hryniewicz""","""cham : springer international publishing : imprint : springer, 2017.""","""electronic books. | conference papers and proceedings.""",9783319429724,"""advances in intelligent systems and computing ; v. 456.""","""1 online resource.""",ab
24,"""the data science design manual""","""skiena, steven s.""","""cham, switzerland : springer, 2017.""","""electronic books.""",9783319554440,"""texts in computer science,undergraduate texts in computer science,""","""1 online resource (xvii, 445 pages)""",ab
30,"""data science : create teams that ask the right questions and deliver real value""","""rose, doug, (agile coach)""","""[berkeley, ca] : apress, 2016.""","""books""",9781484222539,"""nan""","""xix, 251 pages""",ab
31,"""federal data science : transforming government and agricultural policy using artificial intelligence""","""edited by feras a. batarseh, ruixin yang""","""london : academic press, 2018.""","""electronic books.""",9780128124444,"""nan""","""1 online resource""",ab
32,"""mastering python for data science : explore the world of data science through python and learn how to make sense of data""","""madhavan, samir""","""brimingham, uk : packt publishing, 2015. ©2015""","""electronic books.""",9781784392628,"""community experience distilled,""","""1 online resource""",ab
33,"""mastering python for data science : explore the world of data science through python and learn how to make sense of data""","""madhavan, samir""","""brimingham, uk : packt publishing, 2015. ©2015""","""electronic books.""",9781784392628,"""community experience distilled,""","""1 online resource""",ab
