ID,Title,Author,Publication,Format,ISBN,Series,Physical Details
b3453,"""Advances in computers. Volume 20  ""","""Yovits, M. C.""","""New York""","""Electronic books.""",9780080566528,"""nan""","""1 online resource (xiv, 283 pages)"""
b6308,"""Computational ship design ""","""Roh, Myung-Il.""","""Singapore""","""Electronic books.""",9789811048852,"""nan""","""1 online resource"""
b2284,"""Practical digital forensics : get started with the art and science of digital forensics with this practical, hands-on guide!  ""","""Boddington, Richard""","""Birmingham, UK""","""Electronic books.""",9781785881084,"""Community experience distilled.""","""1 online resource"""
b4270,"""Fuzzy Databases : Principles and Applications  ""","""Petry, Frederick E.""","""Boston, MA""","""Electronic books.""",9781461313199,"""International series in intelligent technologies ; 5.""","""1 online resource (240 pages)."""
b779,"""Social work research and the analysis of social data  ""","""Philip, Alistair E.""","""Oxford ; Pergamon Press, 1975.""","""Electronic books.""",9780080182124,"""Pergamon international library of science, technology, engineering, and social studies.""","""1 online resource (xv, 234 pages)"""
b4209,"""Foundations of Logic and Mathematics : Applications to Computer Science and Cryptography  ""","""Nievergelt, Yves.""","""Boston, MA""","""Electronic books.""",9781461201250,"""nan""","""1 online resource (xvi, 415 pages)"""
b4280,"""Workflow and Process Automation : Concepts and Technology  ""","""Cichocki, Andrzej.""","""Boston, MA""","""Electronic books.""",9781461556770,"""International series in engineering and computer science ; 432.""","""1 online resource (x, 121 pages)."""
b6920,"""Cloud computing and software services : theory and techniques  ""","""Ahson, Syed. | Ilyas, Mohammad,""","""Hoboken, N.J.""","""Electronic books.""",9781439803165,"""nan""","""1 online resource (458 pages)"""
b4697,"""Dependable Computing for Critical Applications ""","""AviÅ¾ienis, Algirdas.""","""Vienna""","""Electronic books.""",9783709191231,"""Dependable computing and fault-tolerant systems ; 4.""","""1 online resource (xiii, 431 pages)"""
b125,"""Scala : guide for data science professionals : Scala will be a valuable tool to have on hand during your data science journey for everything from data cleaning to cutting-edge...""","""Bugnion, Pascal""","""Birmingham, UK""","""Electronic books.""",9781787281035,"""nan""","""1 online resource"""
b4262,"""Multidimensional Microscopy ""","""Cheng, P. C.""","""New York, NY""","""Electronic books.""",9781461383666,"""nan""","""1 online resource (xvii, 387 pages)"""
b297,"""Intelligent science and intelligent data engineering : third Sino-foreign-interchange Workshop, IScIDE 2012, Nanjing, China, October 15-17, 2012. Revised selected papers  ""","""Yang, Jian, | Fang, Fang. | Sun, Changyin.""","""Berlin ; Springer, Â©2013.""","""Electronic books. | Conference papers and proceedings.""",9783642366697,"""Lecture notes in computer science ; 7751. LNCS sublibrary. SL 6, Image processing, computer vision, pattern recognition, and graphics.""","""1 online resource."""
b4754,"""Advances in visual computing : 4th international symposium, ISVC 2008, Las Vegas, NV, USA, December 1-3, 2008 : proceedings  ""","""Bebis, George.""","""Berlin ; Springer, c2008.""","""Electronic books.""",9783540896463,"""Lecture notes in computer science, 5358 0302-9743 ;""","""2 v."""
b4003,"""Graph-grammars and their application to computer science and biology : international workshop, Bad Honnef, October 30-November 3, 1978  ""","""Claus, Volker, | Ehrig, Hartmut. | Rozenberg, Grzegorz.""","""Berlin ; Springer-Verlag, 1979.""","""Electronic books. | Conference proceedings.""",9783540350910,"""Lecture notes in computer science ; 73. 0302-9743""","""1 online resource (vii, 477 p.)"""
b3106,"""Information security : 19th International Conference, ISC 2016, Honolulu, HI, USA, September 3-6, 2016. Proceedings  ""","""Bishop, Matt | Nascimento, Anderson C. A.,""","""Switzerland""","""Electronic books. | Conference papers and proceedings.""",9783319458717,"""Lecture notes in computer science ; 9866. 0302-9743 LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xiii, 455 pages)"""
b6767,"""Advanced computing, networking and informatics. Volume 2 : proceedings of the 3rd International Conference on Advanced Computing, Networking, and Informatics (ICACNI 2015)  ""","""Nagar, Atulya K., | Mohapatra, Durga Prasad, | Chaki, Nabendu,""","""New Delhi ; New York""","""Electronic books. | Conference papers and proceedings.""",9788132225294,"""Smart innovation, systems, and technologies ; 44. 2190-3018""","""1 online resource."""
b2963,"""Exploring services science : second International Conference, IESS 2011, Geneva, Switzerland, February 16-18, 2011, revised selected papers  ""","""Snene, Mehdi. | RalytÃ©, Jolita. | Morin, Jean-Henry.""","""Berlin ; Springer, Â©2011.""","""Electronic books. | Conference papers and proceedings.""",9783642215476,"""Lecture notes in business information processing ; 82.""","""1 online resource (x, 236 pages)"""
b3914,"""Classification in the Information Age : Proceedings of the 22nd Annual GfKl Conference, Dresden, March 4-6, 1998  ""","""Gaul, Wolfgang.""","""Berlin, Heidelberg""","""Electronic books.""",9783642601873,"""Studies in classification, data analysis, and knowledge organization.""","""1 online resource (xii, 608 pages)"""
b2786,"""Information security and privacy : 19th Australasian Conference, ACISP 2014, Wollongong, NSW, Australia, July 7-9, 2014. Proceedings  ""","""Susilo, Willy, | Mu, Yi,""","""Cham""","""Electronic books.""",9783319083445,"""Lecture notes in computer science ; 8544. 0302-9743 LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xiv, 464 pages)"""
b2349,"""Advances in cryptology -- ASIACRYPT 2017 : 23rd International Conference on the Theory and Applications of Cryptology and Information Security, Hong Kong, China, December 3-7,...""","""Takagi, Tsuyoshi | Peyrin, Thomas,""","""Cham, Switzerland""","""Electronic books.""",9783319706948,"""Lecture notes in computer science ; 10624. 0302-9743 LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xxvi, 813 pages)"""
b1366,"""Advanced information systems engineering : 25th international conference, CAiSE 2013, Valencia, Spain, June 17-21, 2013, proceedings  ""","""Salinesi, Camille. | Norrie, Moira C. | Pastor, Ãscar,""","""Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783642387098,"""Lecture notes in computer science ; 7908. 0302-9743 LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource (xxxvii, 706 pages)"""
b3344,"""Applications of Logic Databases ""","""Ramakrishnan, Raghu.""","""Boston, MA""","""Electronic books.""",9781461522072,"""International series in engineering and computer science ; 296.""","""1 online resource (xxiii, 280 pages)."""
b2277,"""Intelligent decision technologies 2017 : Proceedings of the 9th KES International Conference on Intelligent Decision Technologies (KES-IDT 2017). Part I  ""","""Czarnowski, Ireneusz, | Howlett, Robert J., | Jain, L. C.,""","""Switzerland""","""Electronic books. | Conference papers and proceedings.""",9783319594217,"""Smart innovation, systems, and technologies ; v. 72.""","""1 online resource."""
b6455,"""Recent trends in information and communication technology : Proceedings of the 2nd International Conference of Reliable Information and Communication Technology (IRICT 2017)  ""","""Saeed, Faisal. | Gazem, Nadhmi. | Patnaik, Srikanta. | Saed Balaid, Ali Saleh. | Mohammed, Fathey.""","""Cham""","""Electronic books. | Conference papers and proceedings.""",9783319594279,"""Lecture Notes on Data Engineering and Communications Technologies ; v. 5.""","""1 online resource (931 pages)."""
b6109,"""COMPSTAT 1982 5th Symposium held at Toulouse 1982 : Part I: Proceedings in Computational Statistics  ""","""Caussinus, H.""","""Heidelberg""","""Electronic books.""",9783642514616,"""nan""","""1 online resource"""
