,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Author,ltable_Publication,ltable_Format,ltable_ISBN,ltable_Series,ltable_Physical Details,rtable_Title,rtable_Author,rtable_Publication,rtable_Format,rtable_ISBN,rtable_Series,rtable_Physical Details,jaccard
0,0,a2337,b0,"""statistical learning and data science""","""edited by mireille gettler summa ... [and others]""","""boca raton : crc press, [2012] ©2012""","""books""",9781439867631,"""series in computer science and data analysis,""","""nan""","""statistical learning and data science""","""summa, mireille gettler.""","""boca raton""","""nan""",9781439867631,"""series in computer science and data analysis.""","""xv, 227 p.""",1.0
1,1,a3097,b1,"""intelligent techniques for data science""","""rajendra akerkar, priti srinivas sajja""","""cham, switzerland : springer, 2016.""","""books""",9783319292069,"""nan""","""nan""","""intelligent techniques for data science""","""akerkar, rajendra""","""cham, switzerland""","""electronic books.""",9783319292069,"""nan""","""1 online resource (xvi, 272 pages)""",1.0
2,2,a4508,b2,"""algorithms for data science""","""brian steele, john chandler, swarna reddy""","""cham, switzerland : springer, 2016.""","""books""",9783319457970,"""nan""","""nan""","""algorithms for data science""","""steele, brian""","""cham, switzerland""","""electronic books.""",9783319457970,"""nan""","""1 online resource (xxiii, 430 pages)""",1.0
3,3,a3267,b3,"""data science at the command line""","""jeroen janssens""","""first edition. sebastopol, ca : o'reilly, 2014. ©2015""","""books""",9781491947852,"""nan""","""nan""","""data science at the command line""","""janssens, jeroen""","""sebastopol, ca""","""nan""",9781491947852,"""nan""","""xvii, 191 pages""",1.0
5,5,a4755,b5,"""introduction to hpc with mpi for data science""","""frank nielsen""","""cham : springer, 2016.""","""books""",9783319219035,"""undergraduate topics in computer science,""","""nan""","""introduction to hpc with mpi for data science""","""nielsen, frank""","""cham""","""electronic books.""",9783319219035,"""undergraduate topics in computer science, 1863-7310""","""1 online resource (xxxiii, 282 pages)""",1.0
6,6,a2523,b6,"""data science using oracle data miner and oracle r enterprise : transform your business systems into an analytical powerhouse""","""sibanjan das""","""berkeley, ca : apress, 2016. berkeley, ca : apress, 2016.""","""books""",9781484226148,"""nan""","""nan""","""data science using oracle data miner and oracle r enterprise : transform your business systems into an analytical powerhouse""","""das, sibanjan.""","""berkeley, ca""","""electronic books.""",9781484226148,"""nan""","""1 online resource (300 pages)""",1.0
7,7,a3584,b7,"""the data science handbook""","""field cady""","""hoboken, nj : john wiley & sons, inc., 2017.""","""books""",9781119092933,"""nan""","""nan""","""the data science handbook""","""cady, field, 1984-""","""hoboken, nj""","""electronic books. | handbooks and manuals.""",9781119092933,"""nan""","""1 online resource""",1.0
8,8,a1869,b8,"""data science : create teams that ask the right questions and deliver real value""","""doug rose""","""[berkeley, ca] : apress, 2016.""","""books""",9781484222539,"""nan""","""nan""","""data science : create teams that ask the right questions and deliver real value""","""rose, doug, (agile coach)""","""[berkeley, ca]""","""electronic books.""",9781484222539,"""nan""","""1 online resource""",1.0
9,9,a1186,b9,"""spatial big data science classification techniques for earth observation imagery""","""zhe jiang, shashi shekhar""","""cham : springer, 2017.""","""books""",9783319601953,"""nan""","""nan""","""spatial big data science : classification techniques for earth observation imagery""","""jiang, zhe.""","""cham""","""electronic books.""",9783319601953,"""nan""","""1 online resource""",0.9090909090909091
10,10,a3432,b11,"""practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in r and python""","""tony ojeda, sean patrick murphy, benjamin bengfort, abhijit dasgupta""","""birmingham, uk : packt publishing ltd., september 2014. ©2014""","""books""",9781783980246,"""nan""","""nan""","""practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in r and python""","""ojeda, tony.""","""birmingham, uk""","""electronic books.""",9781783980253,"""nan""","""1 online resource""",1.0
11,11,a3694,b11,"""practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in r and python""","""tony ojeda, [and three others]""","""birmingham, [england] : packt publishing, 2014. ©2014""","""books""",9781783980253,"""nan""","""nan""","""practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in r and python""","""ojeda, tony.""","""birmingham, uk""","""electronic books.""",9781783980253,"""nan""","""1 online resource""",1.0
12,12,a3432,b12,"""practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in r and python""","""tony ojeda, sean patrick murphy, benjamin bengfort, abhijit dasgupta""","""birmingham, uk : packt publishing ltd., september 2014. ©2014""","""books""",9781783980246,"""nan""","""nan""","""practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in r and python""","""ojeda, tony.""","""birmingham, uk""","""electronic books.""",9781783980253,"""nan""","""1 online resource""",1.0
13,13,a3694,b12,"""practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in r and python""","""tony ojeda, [and three others]""","""birmingham, [england] : packt publishing, 2014. ©2014""","""books""",9781783980253,"""nan""","""nan""","""practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in r and python""","""ojeda, tony.""","""birmingham, uk""","""electronic books.""",9781783980253,"""nan""","""1 online resource""",1.0
14,14,a495,b13,"""data science and big data computing : frameworks and methodologies""","""zaigham mahmood, editor""","""switzerland : springer, 2016.""","""books""",9783319318615,"""nan""","""nan""","""data science and big data computing : frameworks and methodologies""","""mahmood, zaigham,""","""switzerland""","""electronic books.""",9783319318615,"""nan""","""1 online resource (xxi, 319 pages)""",1.0
17,17,a4175,b14,"""data science and big data : an environment of computational intelligence""","""witold pedrycz, shyi-ming chen, editors""","""cham : springer, [2017]. ©2017""","""books""",9783319534749,"""studies in big data ; v. 24,""","""nan""","""data science and big data : an environment of computational intelligence""","""pedrycz, witold, | chen, shyi-ming,""","""cham""","""electronic books.""",9783319534749,"""studies in big data ; v. 24.""","""1 online resource (viii, 303 pages).""",1.0
18,18,a2484,b15,"""python for r users : a data science approach""","""ajay ohri""","""hoboken, nj : john wiley & sons, 2017.""","""books""",9781119126805,"""nan""","""nan""","""python for r users : a data science approach""","""ohri, a. (ajay)""","""hoboken, nj""","""electronic books.""",9781119126775,"""nan""","""1 online resource""",1.0
19,19,a4368,b16,"""neural data science : a primer with matlab® and python™""","""erik lee nylen, parsec media, new york, ny, united states, pascal wallisch, new york university, new york, ny united states""","""london : san diego, ca : academic press, [2017]""","""books""",9780128040980,"""nan""","""nan""","""neural data science : a primer with matlabâ® and pythonâ¢""","""nylen, erik lee""","""london""","""electronic books.""",9780128040980,"""nan""","""1 online resource""",0.6666666666666666
20,20,a67,b22,"""statistics for data science : leverage the power of statistics for data analysis, classification, regression, machine learning, and neural networks""","""james d. miller""","""birmingham, uk : packt publishing, 2017. ©2017""","""books""",9781788295345,"""nan""","""nan""","""statistics for data science""","""miller, james""","""packt publishing, 2017.""","""electronic books.""",9781788290678,"""nan""","""1 online resource (286 p.)""",0.15789473684210525
22,22,a1353,b26,"""soft methods for data science""","""edited by maria brigida ferraro, paolo giordani, barbara vantaggi, marek gagolewski, maría ángeles gil, przemysław grzegorzewski, olgierd hryniewicz""","""cham : springer international publishing : imprint : springer, 2017.""","""books""",9783319429724,"""advances in intelligent systems and computing ; 456,""","""nan""","""soft methods for data science""","""ferraro, maria brigida,""","""switzerland""","""electronic books. | conference papers and proceedings.""",9783319429724,"""advances in intelligent systems and computing ; v. 456.""","""1 online resource.""",1.0
24,24,a107,b28,"""the data science design manual""","""steven s. skiena""","""cham, switzerland : springer, 2017.""","""books""",9783319554440,"""texts in computer science,undergraduate texts in computer science,""","""nan""","""the data science design manual""","""skiena, steven s.""","""cham, switzerland""","""electronic books.""",9783319554440,"""texts in computer science, 1868-0941""","""1 online resource (xvii, 445 pages)""",1.0
30,30,a1869,b34,"""data science : create teams that ask the right questions and deliver real value""","""doug rose""","""[berkeley, ca] : apress, 2016.""","""books""",9781484222539,"""nan""","""nan""","""data science : create teams that ask the right questions and deliver real value""","""rose, doug, (agile coach)""","""[berkeley, ca]""","""nan""",9781484222522,"""nan""","""xix, 251 pages""",1.0
31,31,a3334,b36,"""federal data science : transforming government and agricultural policy using artificial intelligence""","""edited by feras a. batarseh, ruixin yang""","""london : academic press, 2018.""","""books""",9780128124444,"""nan""","""nan""","""federal data science : transforming government and agricultural policy using artificial intelligence""","""batarseh, feras, | yang, ruixin,""","""london""","""electronic books.""",9780128124444,"""nan""","""1 online resource""",1.0
32,32,a539,b39,"""mastering python for data science : explore the world of data science through python and learn how to make sense of data""","""samir madhavan""","""brimingham, uk : packt publishing, 2015. ©2015""","""books""",9781784392628,"""community experience distilled,""","""nan""","""mastering python for data science : explore the world of data science through python and learn how to make sense of data""","""madhavan, samir""","""brimingham, uk""","""electronic books.""",9781784392628,"""community experience distilled.""","""1 online resource""",1.0
33,33,a539,b40,"""mastering python for data science : explore the world of data science through python and learn how to make sense of data""","""samir madhavan""","""brimingham, uk : packt publishing, 2015. ©2015""","""books""",9781784392628,"""community experience distilled,""","""nan""","""mastering python for data science : explore the world of data science through python and learn how to make sense of data""","""madhavan, samir""","""brimingham, uk""","""electronic books.""",9781784392628,"""community experience distilled.""","""1 online resource""",1.0
34,34,a3975,b46,"""perspectives on data science for software engineering""","""edited by tim menzies, laurie williams, thomas zimmermann""","""cambridge, ma : morgan kaufmann is an imprint of elsevier, 2016.""","""books""",9780128042618,"""nan""","""nan""","""perspectives on data science for software engineering""","""menzies, tim, | williams, laurie, | zimmermann, thomas,""","""cambridge, ma""","""electronic books.""",9780128042618,"""nan""","""1 online resource""",1.0
36,36,a3975,b47,"""perspectives on data science for software engineering""","""edited by tim menzies, laurie williams, thomas zimmermann""","""cambridge, ma : morgan kaufmann is an imprint of elsevier, 2016.""","""books""",9780128042618,"""nan""","""nan""","""perspectives on data science for software engineering""","""menzies, tim, | williams, laurie, | zimmermann, thomas,""","""cambridge, ma""","""electronic books.""",9780128042618,"""nan""","""1 online resource""",1.0
41,41,a2695,b48,"""process mining : data science in action""","""wil van der aalst""","""second edition. heidelberg : springer, 2016.""","""books""",9783662498514,"""nan""","""nan""","""process mining : data science in action""","""aalst, wil van der""","""heidelberg""","""electronic books.""",9783662498514,"""nan""","""1 online resource (xix, 467 pages)""",1.0
47,47,a3506,b49,"""advanced statistical methods in data science""","""ding-geng (din) chen, jiahua chen, xuewen lu, grace y. yi, hao yu, editors""","""singapore : springer, 2016.""","""books""",9789811025945,"""icsa book series in statistics,""","""nan""","""advanced statistical methods in data science""","""chen, ding-geng, | chen, jiahua, | lu, xuewen, | yi, grace, | yu, hao,""","""singapore""","""electronic books. | conference papers and proceedings.""",9789811025945,"""icsa book series in statistics.""","""1 online resource.""",1.0
